Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-07-28 15:40,Exit,15836,1,31715,-44.24,-0.14,47.38,0.15,-43.62,-0.14,-44.24,-0.09
1,Entry long,2023-07-28 14:45,Long,15857.5,1,31715,-44.24,-0.14,47.38,0.15,-43.62,-0.14,-44.24,-0.09
2,Exit long,2023-07-31 09:45,Exit,15869,1,31769.5,-32.74,-0.10,39.88,0.13,-32.12,-0.10,-76.98,-0.15
2,Entry long,2023-07-31 09:45,Long,15884.75,1,31769.5,-32.74,-0.10,39.88,0.13,-32.12,-0.10,-76.98,-0.15
3,Exit long,2023-08-28 10:35,Exit,15062.5,1,30180.5,-56.74,-0.19,12.38,0.04,-56.12,-0.19,-133.72,-0.27
3,Entry long,2023-08-28 10:25,Long,15090.25,1,30180.5,-56.74,-0.19,12.38,0.04,-56.12,-0.19,-133.72,-0.27
4,Exit long,2023-08-31 09:40,Exit,15525,1,31086,-37.24,-0.12,15.88,0.05,-36.62,-0.12,-170.96,-0.34
4,Entry long,2023-08-31 09:40,Long,15543,1,31086,-37.24,-0.12,15.88,0.05,-36.62,-0.12,-170.96,-0.34
5,Exit long,2023-08-31 13:45,Exit,15550.75,1,31139,-38.74,-0.12,10.88,0.03,-38.12,-0.12,-209.7,-0.42
5,Entry long,2023-08-31 13:30,Long,15569.5,1,31139,-38.74,-0.12,10.88,0.03,-38.12,-0.12,-209.7,-0.42
6,Exit long,2023-11-02 13:30,Exit,14983.25,1,29877.5,87.76,0.29,88.38,0.30,-33.12,-0.11,-121.94,-0.24
6,Entry long,2023-11-02 10:40,Long,14938.75,1,29877.5,87.76,0.29,88.38,0.30,-33.12,-0.11,-121.94,-0.24
7,Exit long,2023-11-06 10:45,Exit,15218.75,1,30477.5,-41.24,-0.14,14.38,0.05,-40.62,-0.13,-163.18,-0.33
7,Entry long,2023-11-06 10:40,Long,15238.75,1,30477.5,-41.24,-0.14,14.38,0.05,-40.62,-0.13,-163.18,-0.33
8,Exit long,2023-11-09 10:00,Exit,15407.5,1,30846,-32.24,-0.10,18.88,0.06,-31.62,-0.10,-195.42,-0.39
8,Entry long,2023-11-09 10:00,Long,15423,1,30846,-32.24,-0.10,18.88,0.06,-31.62,-0.10,-195.42,-0.39
9,Exit long,2023-11-09 12:15,Exit,15395.5,1,30830.5,-40.74,-0.13,75.38,0.24,-40.12,-0.13,-236.16,-0.47
9,Entry long,2023-11-09 11:10,Long,15415.25,1,30830.5,-40.74,-0.13,75.38,0.24,-40.12,-0.13,-236.16,-0.47
