Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-10-18 09:30,VWAP X,1969.3,1,19406,284,1.46,285.5,1.47,-89.5,-0.46,284,0.57
1,Entry long,2023-10-17 10:00,VWAP,1940.6,1,19406,284,1.46,285.5,1.47,-89.5,-0.46,284,0.57
2,Exit long,2023-10-27 14:00,VWAP X,2014.6,1,19743,400,2.03,401.5,2.03,-99.5,-0.50,684,1.37
2,Entry long,2023-10-19 13:00,VWAP,1974.3,1,19743,400,2.03,401.5,2.03,-99.5,-0.50,684,1.37
3,Exit long,2023-12-05 04:00,Inst X,2049.6,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,632,1.26
3,Entry long,2023-12-05 03:15,Inst,2054.5,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,632,1.26
4,Exit long,2023-12-18 09:15,Inst X,2035.5,1,20400,-48,-0.24,7.5,0.04,-46.5,-0.23,584,1.17
4,Entry long,2023-12-18 09:00,Inst,2040,1,20400,-48,-0.24,7.5,0.04,-46.5,-0.23,584,1.17
5,Exit long,2024-01-02 09:30,Inst X,2071.7,1,20754,-40,-0.19,125.5,0.60,-38.5,-0.19,544,1.09
5,Entry long,2024-01-01 21:30,Inst,2075.4,1,20754,-40,-0.19,125.5,0.60,-38.5,-0.19,544,1.09
6,Exit long,2024-01-08 06:15,Inst X,2028.6,1,20470,-187,-0.91,239.5,1.17,-185.5,-0.91,357,0.71
6,Entry long,2024-01-05 09:00,Inst,2047,1,20470,-187,-0.91,239.5,1.17,-185.5,-0.91,357,0.71
7,Exit long,2024-02-06 01:45,Inst X,2042,1,20454,-37,-0.18,0,0.00,-35.5,-0.17,320,0.64
7,Entry long,2024-02-06 01:00,Inst,2045.4,1,20454,-37,-0.18,0,0.00,-35.5,-0.17,320,0.64
8,Exit long,2024-03-01 12:00,VWAP X,2092.9,1,20642,284,1.38,285.5,1.38,-5.5,-0.03,604,1.21
8,Entry long,2024-03-01 10:15,VWAP,2064.2,1,20642,284,1.38,285.5,1.38,-5.5,-0.03,604,1.21
9,Exit long,2024-04-02 11:30,VWAP X,2273.4,1,22826,-95,-0.42,150.5,0.66,-93.5,-0.41,509,1.02
9,Entry long,2024-04-02 09:45,VWAP,2282.6,1,22826,-95,-0.42,150.5,0.66,-93.5,-0.41,509,1.02
10,Exit long,2024-05-07 10:45,VWAP X,2324.3,1,23286,-46,-0.20,23.5,0.10,-44.5,-0.19,463,0.93
10,Entry long,2024-05-07 09:45,VWAP,2328.6,1,23286,-46,-0.20,23.5,0.10,-44.5,-0.19,463,0.93
11,Exit long,2024-05-10 10:45,VWAP X,2365.4,1,23744,-93,-0.39,7.5,0.03,-91.5,-0.39,370,0.74
11,Entry long,2024-05-10 10:15,VWAP,2374.4,1,23744,-93,-0.39,7.5,0.03,-91.5,-0.39,370,0.74
12,Exit long,2024-05-23 13:15,Inst X,2340.3,1,23523,-123,-0.52,1017.5,4.33,-121.5,-0.52,247,0.49
12,Entry long,2024-05-14 08:45,Inst,2352.3,1,23523,-123,-0.52,1017.5,4.33,-121.5,-0.52,247,0.49
13,Exit long,2024-06-07 04:00,VWAP X,2378.3,1,23895,-115,-0.48,169.5,0.71,-113.5,-0.47,132,0.26
13,Entry long,2024-06-06 11:15,VWAP,2389.5,1,23895,-115,-0.48,169.5,0.71,-113.5,-0.47,132,0.26
14,Exit long,2024-06-25 11:30,Inst X,2331.2,1,23391,-82,-0.35,103.5,0.44,-80.5,-0.34,50,0.10
14,Entry long,2024-06-24 05:45,Inst,2339.1,1,23391,-82,-0.35,103.5,0.44,-80.5,-0.34,50,0.10
15,Exit long,2024-06-25 21:30,Inst X,2327.2,1,23321,-52,-0.22,3.5,0.02,-50.5,-0.22,-2,0.00
15,Entry long,2024-06-25 21:15,Inst,2332.1,1,23321,-52,-0.22,3.5,0.02,-50.5,-0.22,-2,0.00
16,Exit long,2024-07-30 11:15,VWAP X,2429.8,1,24384,-89,-0.36,25.5,0.10,-87.5,-0.36,-91,-0.18
16,Entry long,2024-07-30 10:30,VWAP,2438.4,1,24384,-89,-0.36,25.5,0.10,-87.5,-0.36,-91,-0.18
17,Exit long,2024-08-01 13:00,VWAP X,2485.4,1,24958,-107,-0.43,0.5,0.00,-105.5,-0.42,-198,-0.40
17,Entry long,2024-08-01 10:45,VWAP,2495.8,1,24958,-107,-0.43,0.5,0.00,-105.5,-0.42,-198,-0.40
18,Exit long,2024-08-05 06:45,Inst X,2457.5,1,24748,-176,-0.71,258.5,1.04,-174.5,-0.71,-374,-0.75
18,Entry long,2024-08-04 21:15,Inst,2474.8,1,24748,-176,-0.71,258.5,1.04,-174.5,-0.71,-374,-0.75
19,Exit long,2024-08-13 22:00,VWAP X,2501.6,1,25133,-120,-0.48,20.5,0.08,-118.5,-0.47,-494,-0.99
19,Entry long,2024-08-13 09:45,VWAP,2513.3,1,25133,-120,-0.48,20.5,0.08,-118.5,-0.47,-494,-0.99
20,Exit long,2024-09-02 20:30,Inst X,2527.7,1,25374,-100,-0.39,18.5,0.07,-98.5,-0.39,-594,-1.19
20,Entry long,2024-09-02 04:45,Inst,2537.4,1,25374,-100,-0.39,18.5,0.07,-98.5,-0.39,-594,-1.19
21,Exit long,2024-09-03 23:30,Inst X,2525,1,25272,-25,-0.10,0,0.00,-23.5,-0.09,-619,-1.24
21,Entry long,2024-09-03 23:15,Inst,2527.2,1,25272,-25,-0.10,0,0.00,-23.5,-0.09,-619,-1.24
22,Exit long,2024-09-05 11:00,VWAP X,2536.5,1,25474,-112,-0.44,14.5,0.06,-110.5,-0.43,-731,-1.46
22,Entry long,2024-09-05 10:30,VWAP,2547.4,1,25474,-112,-0.44,14.5,0.06,-110.5,-0.43,-731,-1.46
23,Exit long,2024-09-24 12:30,VWAP X,2677.8,1,26389,386,1.46,387.5,1.47,-29.5,-0.11,-345,-0.69
23,Entry long,2024-09-20 10:30,VWAP,2638.9,1,26389,386,1.46,387.5,1.47,-29.5,-0.11,-345,-0.69
24,Exit long,2024-09-30 03:45,Inst X,2675.8,1,26793,-38,-0.14,29.5,0.11,-36.5,-0.14,-383,-0.77
24,Entry long,2024-09-30 02:15,Inst,2679.3,1,26793,-38,-0.14,29.5,0.11,-36.5,-0.14,-383,-0.77
25,Exit long,2024-10-02 11:00,Inst X,2662.6,1,26660,-37,-0.14,285.5,1.07,-35.5,-0.13,-420,-0.84
25,Entry long,2024-10-01 04:30,Inst,2666,1,26660,-37,-0.14,285.5,1.07,-35.5,-0.13,-420,-0.84
26,Exit long,2024-10-16 05:45,VWAP X,2699.6,1,26713,280,1.05,281.5,1.05,-4.5,-0.02,-140,-0.28
26,Entry long,2024-10-15 10:15,VWAP,2671.3,1,26713,280,1.05,281.5,1.05,-4.5,-0.02,-140,-0.28
27,Exit long,2024-10-20 19:00,VWAP X,2739.1,1,27045,343,1.27,344.5,1.27,-52.5,-0.19,203,0.41
27,Entry long,2024-10-17 10:00,VWAP,2704.5,1,27045,343,1.27,344.5,1.27,-52.5,-0.19,203,0.41
28,Exit long,2024-12-05 12:15,Inst X,2649.2,1,26570,-81,-0.30,249.5,0.94,-79.5,-0.30,122,0.24
28,Entry long,2024-12-02 04:15,Inst,2657,1,26570,-81,-0.30,249.5,0.94,-79.5,-0.30,122,0.24
29,Exit long,2025-01-14 00:45,Inst X,2682.8,1,26878,-53,-0.20,19.5,0.07,-51.5,-0.19,69,0.14
29,Entry long,2025-01-13 23:45,Inst,2687.8,1,26878,-53,-0.20,19.5,0.07,-51.5,-0.19,69,0.14
30,Exit long,2025-03-03 04:30,Inst X,2875.4,1,28797,-46,-0.16,0.5,0.00,-44.5,-0.15,23,0.05
30,Entry long,2025-03-03 04:30,Inst,2879.7,1,28797,-46,-0.16,0.5,0.00,-44.5,-0.15,23,0.05
31,Exit long,2025-03-07 12:00,VWAP X,2915.5,1,29273,-121,-0.41,112.5,0.38,-119.5,-0.41,-98,-0.20
31,Entry long,2025-03-07 09:45,VWAP,2927.3,1,29273,-121,-0.41,112.5,0.38,-119.5,-0.41,-98,-0.20
32,Exit long,2025-03-14 05:00,VWAP X,3007.8,1,29625,450,1.52,451.5,1.52,-50.5,-0.17,352,0.70
32,Entry long,2025-03-13 09:45,VWAP,2962.5,1,29625,450,1.52,451.5,1.52,-50.5,-0.17,352,0.70
33,Exit long,2025-04-08 08:15,Inst X,3021.7,1,30325,-111,-0.37,0.5,0.00,-109.5,-0.36,241,0.48
33,Entry long,2025-04-08 08:15,Inst,3032.5,1,30325,-111,-0.37,0.5,0.00,-109.5,-0.36,241,0.48
