Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-10-18 09:15,VWAP X,1963.2,1,19388,241,1.24,242.5,1.25,-71.5,-0.37,241,0.48
1,Entry long,2023-10-17 09:00,VWAP,1938.8,1,19388,241,1.24,242.5,1.25,-71.5,-0.37,241,0.48
2,Exit long,2023-10-27 14:00,VWAP X,2014.6,1,19743,400,2.03,401.5,2.03,-99.5,-0.50,641,1.28
2,Entry long,2023-10-19 13:00,VWAP,1974.3,1,19743,400,2.03,401.5,2.03,-99.5,-0.50,641,1.28
3,Exit long,2023-11-20 03:30,VWAP X,1978.3,1,19852,-72,-0.36,24.5,0.12,-70.5,-0.36,569,1.14
3,Entry long,2023-11-19 20:30,VWAP,1985.2,1,19852,-72,-0.36,24.5,0.12,-70.5,-0.36,569,1.14
4,Exit long,2023-11-28 09:00,VWAP X,2022.4,1,20068,153,0.76,154.5,0.77,-9.5,-0.05,722,1.44
4,Entry long,2023-11-26 20:15,VWAP,2006.8,1,20068,153,0.76,154.5,0.77,-9.5,-0.05,722,1.44
5,Exit long,2023-12-05 04:00,Inst X,2049.6,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,670,1.34
5,Entry long,2023-12-05 03:15,Inst,2054.5,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,670,1.34
6,Exit long,2023-12-18 04:45,Inst X,2036.8,1,20402,-37,-0.18,12.5,0.06,-35.5,-0.17,633,1.27
6,Entry long,2023-12-18 04:15,Inst,2040.2,1,20402,-37,-0.18,12.5,0.06,-35.5,-0.17,633,1.27
7,Exit long,2023-12-18 09:15,Inst X,2035.5,1,20400,-48,-0.24,7.5,0.04,-46.5,-0.23,585,1.17
7,Entry long,2023-12-18 09:00,Inst,2040,1,20400,-48,-0.24,7.5,0.04,-46.5,-0.23,585,1.17
8,Exit long,2024-01-02 09:30,Inst X,2072.3,1,20783,-63,-0.30,96.5,0.46,-61.5,-0.30,522,1.04
8,Entry long,2024-01-01 20:15,Inst,2078.3,1,20783,-63,-0.30,96.5,0.46,-61.5,-0.30,522,1.04
9,Exit long,2024-01-08 06:15,Inst X,2028.6,1,20470,-187,-0.91,239.5,1.17,-185.5,-0.91,335,0.67
9,Entry long,2024-01-05 09:00,Inst,2047,1,20470,-187,-0.91,239.5,1.17,-185.5,-0.91,335,0.67
10,Exit long,2024-01-16 22:15,Inst X,2029.7,1,20335,-41,-0.20,23.5,0.12,-39.5,-0.19,294,0.59
10,Entry long,2024-01-16 20:45,Inst,2033.5,1,20335,-41,-0.20,23.5,0.12,-39.5,-0.19,294,0.59
11,Exit long,2024-01-30 06:15,VWAP X,2048.7,1,20532,-48,-0.23,55.5,0.27,-46.5,-0.23,246,0.49
11,Entry long,2024-01-30 01:15,VWAP,2053.2,1,20532,-48,-0.23,55.5,0.27,-46.5,-0.23,246,0.49
12,Exit long,2024-01-30 09:15,VWAP X,2063.8,1,20543,92,0.45,93.5,0.46,-30.5,-0.15,338,0.68
12,Entry long,2024-01-30 08:00,VWAP,2054.3,1,20543,92,0.45,93.5,0.46,-30.5,-0.15,338,0.68
13,Exit long,2024-02-02 04:00,VWAP X,2070.2,1,20730,-31,-0.15,9.5,0.05,-29.5,-0.14,307,0.61
13,Entry long,2024-02-02 00:30,VWAP,2073,1,20730,-31,-0.15,9.5,0.05,-29.5,-0.14,307,0.61
14,Exit long,2024-02-02 08:15,VWAP X,2070.4,1,20735,-34,-0.16,10.5,0.05,-32.5,-0.16,273,0.55
14,Entry long,2024-02-02 08:15,VWAP,2073.5,1,20735,-34,-0.16,10.5,0.05,-32.5,-0.16,273,0.55
15,Exit long,2024-02-06 03:15,Inst X,2041,1,20453,-46,-0.22,1.5,0.01,-44.5,-0.22,227,0.45
15,Entry long,2024-02-06 00:45,Inst,2045.3,1,20453,-46,-0.22,1.5,0.01,-44.5,-0.22,227,0.45
16,Exit long,2024-02-08 07:00,Inst X,2041.4,1,20453,-42,-0.21,155.5,0.76,-40.5,-0.20,185,0.37
16,Entry long,2024-02-06 09:00,Inst,2045.3,1,20453,-42,-0.21,155.5,0.76,-40.5,-0.20,185,0.37
17,Exit long,2024-02-12 08:45,Inst X,2033.7,1,20408,-74,-0.36,7.5,0.04,-72.5,-0.36,111,0.22
17,Entry long,2024-02-12 08:15,Inst,2040.8,1,20408,-74,-0.36,7.5,0.04,-72.5,-0.36,111,0.22
18,Exit long,2024-02-13 08:30,Inst X,2033.9,1,20360,-24,-0.12,108.5,0.53,-22.5,-0.11,87,0.17
18,Entry long,2024-02-13 01:45,Inst,2036,1,20360,-24,-0.12,108.5,0.53,-22.5,-0.11,87,0.17
