Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-10-18 09:30,VWAP X,1969.3,1,19406,284,1.46,285.5,1.47,-89.5,-0.46,284,0.57
1,Entry long,2023-10-17 10:00,VWAP,1940.6,1,19406,284,1.46,285.5,1.47,-89.5,-0.46,284,0.57
2,Exit long,2023-10-27 14:00,VWAP X,2014.6,1,19743,400,2.03,401.5,2.03,-99.5,-0.50,684,1.37
2,Entry long,2023-10-19 13:00,VWAP,1974.3,1,19743,400,2.03,401.5,2.03,-99.5,-0.50,684,1.37
3,Exit long,2023-12-05 04:00,Inst X,2049.6,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,632,1.26
3,Entry long,2023-12-05 03:15,Inst,2054.5,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,632,1.26
4,Exit long,2023-12-18 04:45,Inst X,2036.8,1,20402,-37,-0.18,12.5,0.06,-35.5,-0.17,595,1.19
4,Entry long,2023-12-18 04:15,Inst,2040.2,1,20402,-37,-0.18,12.5,0.06,-35.5,-0.17,595,1.19
5,Exit long,2023-12-18 09:15,Inst X,2035.5,1,20400,-48,-0.24,7.5,0.04,-46.5,-0.23,547,1.09
5,Entry long,2023-12-18 09:00,Inst,2040,1,20400,-48,-0.24,7.5,0.04,-46.5,-0.23,547,1.09
6,Exit long,2024-01-02 09:30,Inst X,2072.3,1,20783,-63,-0.30,96.5,0.46,-61.5,-0.30,484,0.97
6,Entry long,2024-01-01 20:15,Inst,2078.3,1,20783,-63,-0.30,96.5,0.46,-61.5,-0.30,484,0.97
7,Exit long,2024-01-08 06:15,Inst X,2028.6,1,20470,-187,-0.91,239.5,1.17,-185.5,-0.91,297,0.59
7,Entry long,2024-01-05 09:00,Inst,2047,1,20470,-187,-0.91,239.5,1.17,-185.5,-0.91,297,0.59
8,Exit long,2024-01-16 22:15,Inst X,2029.7,1,20335,-41,-0.20,23.5,0.12,-39.5,-0.19,256,0.51
8,Entry long,2024-01-16 20:45,Inst,2033.5,1,20335,-41,-0.20,23.5,0.12,-39.5,-0.19,256,0.51
9,Exit long,2024-02-06 03:15,Inst X,2041,1,20453,-46,-0.22,1.5,0.01,-44.5,-0.22,210,0.42
9,Entry long,2024-02-06 00:45,Inst,2045.3,1,20453,-46,-0.22,1.5,0.01,-44.5,-0.22,210,0.42
10,Exit long,2024-02-08 07:00,Inst X,2041.4,1,20453,-42,-0.21,155.5,0.76,-40.5,-0.20,168,0.34
10,Entry long,2024-02-06 09:00,Inst,2045.3,1,20453,-42,-0.21,155.5,0.76,-40.5,-0.20,168,0.34
11,Exit long,2024-02-12 08:45,Inst X,2033.7,1,20408,-74,-0.36,7.5,0.04,-72.5,-0.36,94,0.19
11,Entry long,2024-02-12 08:15,Inst,2040.8,1,20408,-74,-0.36,7.5,0.04,-72.5,-0.36,94,0.19
12,Exit long,2024-02-13 08:30,Inst X,2033.9,1,20360,-24,-0.12,108.5,0.53,-22.5,-0.11,70,0.14
12,Entry long,2024-02-13 01:45,Inst,2036,1,20360,-24,-0.12,108.5,0.53,-22.5,-0.11,70,0.14
13,Exit long,2024-03-04 08:45,Inst X,2100,1,20323,674,3.32,675.5,3.32,-8.5,-0.04,744,1.49
13,Entry long,2024-02-23 06:00,Inst,2032.3,1,20323,674,3.32,675.5,3.32,-8.5,-0.04,744,1.49
14,Exit long,2024-03-19 04:15,Inst X,2154.3,1,21589,-49,-0.23,80.5,0.37,-47.5,-0.22,695,1.39
14,Entry long,2024-03-18 05:15,Inst,2158.9,1,21589,-49,-0.23,80.5,0.37,-47.5,-0.22,695,1.39
15,Exit long,2024-03-19 10:00,Inst X,2152.6,1,21613,-90,-0.42,6.5,0.03,-88.5,-0.41,605,1.21
15,Entry long,2024-03-19 08:45,Inst,2161.3,1,21613,-90,-0.42,6.5,0.03,-88.5,-0.41,605,1.21
16,Exit long,2024-04-02 15:45,Inst X,2300,1,21733,1264,5.82,1265.5,5.82,-90.5,-0.42,1869,3.74
16,Entry long,2024-03-24 21:30,Inst,2173.3,1,21733,1264,5.82,1265.5,5.82,-90.5,-0.42,1869,3.74
17,Exit long,2024-04-15 10:00,Inst X,2347.9,1,23589,-113,-0.48,897.5,3.80,-111.5,-0.47,1756,3.51
17,Entry long,2024-04-11 09:00,Inst,2358.9,1,23589,-113,-0.48,897.5,3.80,-111.5,-0.47,1756,3.51
18,Exit long,2024-05-07 10:45,VWAP X,2324.3,1,23286,-46,-0.20,23.5,0.10,-44.5,-0.19,1710,3.42
18,Entry long,2024-05-07 09:45,VWAP,2328.6,1,23286,-46,-0.20,23.5,0.10,-44.5,-0.19,1710,3.42
19,Exit long,2024-05-15 21:00,Inst X,2400,1,23187,810,3.49,811.5,3.50,-14.5,-0.06,2520,5.04
19,Entry long,2024-05-09 06:45,Inst,2318.7,1,23187,810,3.49,811.5,3.50,-14.5,-0.06,2520,5.04
20,Exit long,2024-06-04 10:15,Inst X,2336.2,1,23459,-100,-0.43,294.5,1.26,-98.5,-0.42,2420,4.84
20,Entry long,2024-06-03 03:15,Inst,2345.9,1,23459,-100,-0.43,294.5,1.26,-98.5,-0.42,2420,4.84
21,Exit long,2024-06-07 04:00,VWAP X,2378.3,1,23895,-115,-0.48,169.5,0.71,-113.5,-0.47,2305,4.61
21,Entry long,2024-06-06 11:15,VWAP,2389.5,1,23895,-115,-0.48,169.5,0.71,-113.5,-0.47,2305,4.61
22,Exit long,2024-06-24 05:30,Inst X,2332.8,1,23396,-71,-0.30,56.5,0.24,-69.5,-0.30,2234,4.47
22,Entry long,2024-06-24 03:30,Inst,2339.6,1,23396,-71,-0.30,56.5,0.24,-69.5,-0.30,2234,4.47
23,Exit long,2024-06-25 21:30,Inst X,2327.2,1,23321,-52,-0.22,3.5,0.02,-50.5,-0.22,2182,4.36
23,Entry long,2024-06-25 21:15,Inst,2332.1,1,23321,-52,-0.22,3.5,0.02,-50.5,-0.22,2182,4.36
24,Exit long,2024-06-26 02:00,Inst X,2322.3,1,23328,-108,-0.46,2.5,0.01,-106.5,-0.46,2074,4.15
24,Entry long,2024-06-25 22:30,Inst,2332.8,1,23328,-108,-0.46,2.5,0.01,-106.5,-0.46,2074,4.15
25,Exit long,2024-07-24 21:15,Inst X,2391.1,1,23989,-81,-0.34,339.5,1.42,-79.5,-0.33,1993,3.99
25,Entry long,2024-07-23 04:00,Inst,2398.9,1,23989,-81,-0.34,339.5,1.42,-79.5,-0.33,1993,3.99
26,Exit long,2024-07-30 11:15,VWAP X,2429.8,1,24384,-89,-0.36,25.5,0.10,-87.5,-0.36,1904,3.81
26,Entry long,2024-07-30 10:30,VWAP,2438.4,1,24384,-89,-0.36,25.5,0.10,-87.5,-0.36,1904,3.81
27,Exit long,2024-08-01 13:00,VWAP X,2485.4,1,24958,-107,-0.43,0.5,0.00,-105.5,-0.42,1797,3.59
27,Entry long,2024-08-01 10:45,VWAP,2495.8,1,24958,-107,-0.43,0.5,0.00,-105.5,-0.42,1797,3.59
28,Exit long,2024-08-05 06:45,Inst X,2457.5,1,24748,-176,-0.71,258.5,1.04,-174.5,-0.71,1621,3.24
28,Entry long,2024-08-04 21:15,Inst,2474.8,1,24748,-176,-0.71,258.5,1.04,-174.5,-0.71,1621,3.24
29,Exit long,2024-08-05 22:45,Inst X,2447.5,1,24567,-95,-0.39,26.5,0.11,-93.5,-0.38,1526,3.05
29,Entry long,2024-08-05 20:45,Inst,2456.7,1,24567,-95,-0.39,26.5,0.11,-93.5,-0.38,1526,3.05
30,Exit long,2024-08-06 08:15,Inst X,2445.8,1,24542,-87,-0.35,27.5,0.11,-85.5,-0.35,1439,2.88
30,Entry long,2024-08-06 04:15,Inst,2454.2,1,24542,-87,-0.35,27.5,0.11,-85.5,-0.35,1439,2.88
31,Exit long,2024-08-13 22:00,VWAP X,2501.6,1,25133,-120,-0.48,20.5,0.08,-118.5,-0.47,1319,2.64
31,Entry long,2024-08-13 09:45,VWAP,2513.3,1,25133,-120,-0.48,20.5,0.08,-118.5,-0.47,1319,2.64
32,Exit long,2024-08-15 08:30,Inst X,2496.3,1,25015,-55,-0.22,63.5,0.25,-53.5,-0.21,1264,2.53
32,Entry long,2024-08-15 08:00,Inst,2501.5,1,25015,-55,-0.22,63.5,0.25,-53.5,-0.21,1264,2.53
33,Exit long,2024-08-28 08:30,Inst X,2529.1,1,25334,-46,-0.18,307.5,1.21,-44.5,-0.18,1218,2.44
33,Entry long,2024-08-23 04:45,Inst,2533.4,1,25334,-46,-0.18,307.5,1.21,-44.5,-0.18,1218,2.44
34,Exit long,2024-09-02 20:30,Inst X,2527.7,1,25374,-100,-0.39,18.5,0.07,-98.5,-0.39,1118,2.24
