Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-10-18 09:30,VWAP X,1969.3,1,19406,284,1.46,285.5,1.47,-89.5,-0.46,284,0.57
1,Entry long,2023-10-17 10:00,VWAP,1940.6,1,19406,284,1.46,285.5,1.47,-89.5,-0.46,284,0.57
2,Exit long,2023-10-27 14:00,VWAP X,2014.6,1,19743,400,2.03,401.5,2.03,-99.5,-0.50,684,1.37
2,Entry long,2023-10-19 13:00,VWAP,1974.3,1,19743,400,2.03,401.5,2.03,-99.5,-0.50,684,1.37
3,Exit long,2023-12-05 04:00,Inst X,2049.6,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,632,1.26
3,Entry long,2023-12-05 03:15,Inst,2054.5,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,632,1.26
4,Exit long,2023-12-18 04:45,Inst X,2036.8,1,20402,-37,-0.18,12.5,0.06,-35.5,-0.17,595,1.19
4,Entry long,2023-12-18 04:15,Inst,2040.2,1,20402,-37,-0.18,12.5,0.06,-35.5,-0.17,595,1.19
5,Exit long,2023-12-18 09:15,Inst X,2035.5,1,20400,-48,-0.24,7.5,0.04,-46.5,-0.23,547,1.09
5,Entry long,2023-12-18 09:00,Inst,2040,1,20400,-48,-0.24,7.5,0.04,-46.5,-0.23,547,1.09
6,Exit long,2024-01-02 09:30,Inst X,2072.3,1,20783,-63,-0.30,96.5,0.46,-61.5,-0.30,484,0.97
6,Entry long,2024-01-01 20:15,Inst,2078.3,1,20783,-63,-0.30,96.5,0.46,-61.5,-0.30,484,0.97
7,Exit long,2024-01-08 06:15,Inst X,2028.6,1,20470,-187,-0.91,239.5,1.17,-185.5,-0.91,297,0.59
7,Entry long,2024-01-05 09:00,Inst,2047,1,20470,-187,-0.91,239.5,1.17,-185.5,-0.91,297,0.59
8,Exit long,2024-01-16 22:15,Inst X,2029.7,1,20335,-41,-0.20,23.5,0.12,-39.5,-0.19,256,0.51
8,Entry long,2024-01-16 20:45,Inst,2033.5,1,20335,-41,-0.20,23.5,0.12,-39.5,-0.19,256,0.51
9,Exit long,2024-02-06 03:15,Inst X,2041,1,20453,-46,-0.22,1.5,0.01,-44.5,-0.22,210,0.42
9,Entry long,2024-02-06 00:45,Inst,2045.3,1,20453,-46,-0.22,1.5,0.01,-44.5,-0.22,210,0.42
10,Exit long,2024-02-07 09:30,Inst X,2056.8,1,20453,112,0.55,113.5,0.55,-25.5,-0.12,322,0.64
10,Entry long,2024-02-06 09:00,Inst,2045.3,1,20453,112,0.55,113.5,0.55,-25.5,-0.12,322,0.64
11,Exit long,2024-02-12 08:45,Inst X,2033.7,1,20408,-74,-0.36,7.5,0.04,-72.5,-0.36,248,0.50
11,Entry long,2024-02-12 08:15,Inst,2040.8,1,20408,-74,-0.36,7.5,0.04,-72.5,-0.36,248,0.50
12,Exit long,2024-02-13 06:15,Inst X,2042.3,1,20360,60,0.29,61.5,0.30,-2.5,-0.01,308,0.62
12,Entry long,2024-02-13 01:45,Inst,2036,1,20360,60,0.29,61.5,0.30,-2.5,-0.01,308,0.62
13,Exit long,2024-02-23 11:30,Inst X,2046.3,1,20323,137,0.67,138.5,0.68,-8.5,-0.04,445,0.89
13,Entry long,2024-02-23 06:00,Inst,2032.3,1,20323,137,0.67,138.5,0.68,-8.5,-0.04,445,0.89
14,Exit long,2024-02-27 19:00,LC X,2037.6,1,20418,-45,-0.22,70.5,0.35,-43.5,-0.21,400,0.80
14,Entry long,2024-02-26 15:15,LC,2041.8,1,20418,-45,-0.22,70.5,0.35,-43.5,-0.21,400,0.80
15,Exit long,2024-03-01 12:00,VWAP X,2092.9,1,20642,284,1.38,285.5,1.38,-5.5,-0.03,684,1.37
15,Entry long,2024-03-01 10:15,VWAP,2064.2,1,20642,284,1.38,285.5,1.38,-5.5,-0.03,684,1.37
16,Exit long,2024-03-19 04:15,Inst X,2154.3,1,21589,-49,-0.23,80.5,0.37,-47.5,-0.22,635,1.27
16,Entry long,2024-03-18 05:15,Inst,2158.9,1,21589,-49,-0.23,80.5,0.37,-47.5,-0.22,635,1.27
17,Exit long,2024-03-19 10:00,Inst X,2152.6,1,21613,-90,-0.42,6.5,0.03,-88.5,-0.41,545,1.09
17,Entry long,2024-03-19 08:45,Inst,2161.3,1,21613,-90,-0.42,6.5,0.03,-88.5,-0.41,545,1.09
18,Exit long,2024-03-27 04:15,Inst X,2202.9,1,21733,293,1.35,294.5,1.35,-90.5,-0.42,838,1.68
18,Entry long,2024-03-24 21:30,Inst,2173.3,1,21733,293,1.35,294.5,1.35,-90.5,-0.42,838,1.68
19,Exit long,2024-04-02 11:30,VWAP X,2273.4,1,22826,-95,-0.42,150.5,0.66,-93.5,-0.41,743,1.49
19,Entry long,2024-04-02 09:45,VWAP,2282.6,1,22826,-95,-0.42,150.5,0.66,-93.5,-0.41,743,1.49
20,Exit long,2024-04-11 16:00,Inst X,2392.5,1,23589,333,1.41,334.5,1.42,-95.5,-0.40,1076,2.15
20,Entry long,2024-04-11 09:00,Inst,2358.9,1,23589,333,1.41,334.5,1.42,-95.5,-0.40,1076,2.15
21,Exit long,2024-05-07 10:45,VWAP X,2324.3,1,23286,-46,-0.20,23.5,0.10,-44.5,-0.19,1030,2.06
21,Entry long,2024-05-07 09:45,VWAP,2328.6,1,23286,-46,-0.20,23.5,0.10,-44.5,-0.19,1030,2.06
22,Exit long,2024-05-10 10:45,VWAP X,2365.4,1,23744,-93,-0.39,7.5,0.03,-91.5,-0.39,937,1.87
22,Entry long,2024-05-10 10:15,VWAP,2374.4,1,23744,-93,-0.39,7.5,0.03,-91.5,-0.39,937,1.87
23,Exit long,2024-05-14 08:30,Inst X,2344.6,1,23530,-87,-0.37,10.5,0.04,-85.5,-0.36,850,1.70
23,Entry long,2024-05-14 05:15,Inst,2353,1,23530,-87,-0.37,10.5,0.04,-85.5,-0.36,850,1.70
24,Exit long,2024-06-03 13:00,Inst X,2374.9,1,23459,287,1.22,288.5,1.23,-24.5,-0.10,1137,2.27
24,Entry long,2024-06-03 03:15,Inst,2345.9,1,23459,287,1.22,288.5,1.23,-24.5,-0.10,1137,2.27
25,Exit long,2024-06-07 04:00,VWAP X,2378.3,1,23895,-115,-0.48,169.5,0.71,-113.5,-0.47,1022,2.04
25,Entry long,2024-06-06 11:15,VWAP,2389.5,1,23895,-115,-0.48,169.5,0.71,-113.5,-0.47,1022,2.04
26,Exit long,2024-06-24 05:30,Inst X,2332.8,1,23396,-71,-0.30,56.5,0.24,-69.5,-0.30,951,1.90
26,Entry long,2024-06-24 03:30,Inst,2339.6,1,23396,-71,-0.30,56.5,0.24,-69.5,-0.30,951,1.90
27,Exit long,2024-06-25 21:30,Inst X,2327.2,1,23321,-52,-0.22,3.5,0.02,-50.5,-0.22,899,1.80
27,Entry long,2024-06-25 21:15,Inst,2332.1,1,23321,-52,-0.22,3.5,0.02,-50.5,-0.22,899,1.80
28,Exit long,2024-06-26 02:00,Inst X,2322.3,1,23328,-108,-0.46,2.5,0.01,-106.5,-0.46,791,1.58
28,Entry long,2024-06-25 22:30,Inst,2332.8,1,23328,-108,-0.46,2.5,0.01,-106.5,-0.46,791,1.58
29,Exit long,2024-07-24 08:45,Inst X,2422.3,1,23989,231,0.96,232.5,0.97,-18.5,-0.08,1022,2.04
29,Entry long,2024-07-23 04:00,Inst,2398.9,1,23989,231,0.96,232.5,0.97,-18.5,-0.08,1022,2.04
30,Exit long,2024-07-30 11:15,VWAP X,2429.8,1,24384,-89,-0.36,25.5,0.10,-87.5,-0.36,933,1.87
30,Entry long,2024-07-30 10:30,VWAP,2438.4,1,24384,-89,-0.36,25.5,0.10,-87.5,-0.36,933,1.87
31,Exit long,2024-08-01 13:00,VWAP X,2485.4,1,24958,-107,-0.43,0.5,0.00,-105.5,-0.42,826,1.65
31,Entry long,2024-08-01 10:45,VWAP,2495.8,1,24958,-107,-0.43,0.5,0.00,-105.5,-0.42,826,1.65
32,Exit long,2024-08-05 05:15,Inst X,2462.4,1,24830,-209,-0.84,37.5,0.15,-207.5,-0.84,617,1.23
32,Entry long,2024-08-05 03:30,Inst,2483,1,24830,-209,-0.84,37.5,0.15,-207.5,-0.84,617,1.23
33,Exit long,2024-08-05 22:45,Inst X,2447.5,1,24567,-95,-0.39,26.5,0.11,-93.5,-0.38,522,1.04
33,Entry long,2024-08-05 20:45,Inst,2456.7,1,24567,-95,-0.39,26.5,0.11,-93.5,-0.38,522,1.04
34,Exit long,2024-08-06 08:00,Inst X,2448.8,1,24546,-61,-0.25,0.5,0.00,-59.5,-0.24,461,0.92
