Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-09-19 10:00,VWAP X,1953.8,1,19559,-24,-0.12,3.5,0.02,-22.5,-0.12,-24,-0.05
1,Entry long,2023-09-19 10:00,VWAP,1955.9,1,19559,-24,-0.12,3.5,0.02,-22.5,-0.12,-24,-0.05
2,Exit long,2023-10-18 09:30,VWAP X,1969.3,1,19406,284,1.46,285.5,1.47,-89.5,-0.46,260,0.52
2,Entry long,2023-10-17 10:00,VWAP,1940.6,1,19406,284,1.46,285.5,1.47,-89.5,-0.46,260,0.52
3,Exit long,2023-10-19 13:45,VWAP X,1985.4,1,19662,189,0.96,190.5,0.97,-49.5,-0.25,449,0.90
3,Entry long,2023-10-19 10:00,VWAP,1966.2,1,19662,189,0.96,190.5,0.97,-49.5,-0.25,449,0.90
4,Exit long,2023-11-09 10:45,Sweep X,1969.9,1,19569,127,0.65,128.5,0.66,-11.5,-0.06,576,1.15
4,Entry long,2023-11-09 09:30,Sweep,1956.9,1,19569,127,0.65,128.5,0.66,-11.5,-0.06,576,1.15
5,Exit long,2023-12-01 12:45,Sweep X,2087,1,20622,245,1.19,246.5,1.20,-18.5,-0.09,821,1.64
5,Entry long,2023-12-01 10:00,Sweep,2062.2,1,20622,245,1.19,246.5,1.20,-18.5,-0.09,821,1.64
6,Exit long,2023-12-05 04:00,Inst X,2049.6,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,769,1.54
6,Entry long,2023-12-05 03:15,Inst,2054.5,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,769,1.54
7,Exit long,2023-12-12 09:30,Sweep X,1996.2,1,20037,-78,-0.39,0.5,0.00,-76.5,-0.38,691,1.38
7,Entry long,2023-12-12 09:15,Sweep,2003.7,1,20037,-78,-0.39,0.5,0.00,-76.5,-0.38,691,1.38
8,Exit long,2023-12-18 04:45,Inst X,2036.8,1,20402,-37,-0.18,12.5,0.06,-35.5,-0.17,654,1.31
8,Entry long,2023-12-18 04:15,Inst,2040.2,1,20402,-37,-0.18,12.5,0.06,-35.5,-0.17,654,1.31
9,Exit long,2023-12-18 09:15,Inst X,2035.5,1,20400,-48,-0.24,7.5,0.04,-46.5,-0.23,606,1.21
9,Entry long,2023-12-18 09:00,Inst,2040,1,20400,-48,-0.24,7.5,0.04,-46.5,-0.23,606,1.21
10,Exit long,2023-12-19 09:45,Sweep X,2051.6,1,20384,129,0.63,130.5,0.64,-45.5,-0.22,735,1.47
10,Entry long,2023-12-18 10:00,Sweep,2038.4,1,20384,129,0.63,130.5,0.64,-45.5,-0.22,735,1.47
