Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-08-03 03:59,Long X,1973.2,1,19719,10,0.05,11.5,0.06,-1.5,-0.01,10,0.02
1,Entry long,2023-08-03 03:54,Long,1971.9,1,19719,10,0.05,11.5,0.06,-1.5,-0.01,10,0.02
2,Exit long,2023-08-03 04:09,Long X,1971.7,1,19734,-20,-0.10,3.5,0.02,-18.5,-0.09,-10,-0.02
2,Entry long,2023-08-03 04:02,Long,1973.4,1,19734,-20,-0.10,3.5,0.02,-18.5,-0.09,-10,-0.02
3,Exit long,2023-08-03 05:44,Long X,1971.8,1,19732,-17,-0.09,1.5,0.01,-15.5,-0.08,-27,-0.05
3,Entry long,2023-08-03 04:59,Long,1973.2,1,19732,-17,-0.09,1.5,0.01,-15.5,-0.08,-27,-0.05
4,Exit long,2023-08-03 07:54,Long X,1971.1,1,19718,-10,-0.05,5.5,0.03,-8.5,-0.04,-37,-0.07
4,Entry long,2023-08-03 07:45,Long,1971.8,1,19718,-10,-0.05,5.5,0.03,-8.5,-0.04,-37,-0.07
5,Exit long,2023-08-03 11:58,Long X,1968.1,1,19715,-37,-0.19,28.5,0.14,-35.5,-0.18,-74,-0.15
5,Entry long,2023-08-03 10:04,Long,1971.5,1,19715,-37,-0.19,28.5,0.14,-35.5,-0.18,-74,-0.15
6,Exit long,2023-08-04 10:00,Long X,1977.9,1,19821,-45,-0.23,2.5,0.01,-43.5,-0.22,-119,-0.24
6,Entry long,2023-08-04 09:37,Long,1982.1,1,19821,-45,-0.23,2.5,0.01,-43.5,-0.22,-119,-0.24
7,Exit long,2023-08-07 09:00,Long X,1974.2,1,19730,9,0.05,10.5,0.05,-1.5,-0.01,-110,-0.22
7,Entry long,2023-08-07 09:00,Long,1973,1,19730,9,0.05,10.5,0.05,-1.5,-0.01,-110,-0.22
8,Exit long,2023-08-08 02:04,Long X,1968.2,1,19691,-12,-0.06,0,0.00,-10.5,-0.05,-122,-0.24
8,Entry long,2023-08-08 02:01,Long,1969.1,1,19691,-12,-0.06,0,0.00,-10.5,-0.05,-122,-0.24
9,Exit long,2023-08-08 02:25,Long X,1968,1,19689,-12,-0.06,0,0.00,-10.5,-0.05,-134,-0.27
9,Entry long,2023-08-08 02:16,Long,1968.9,1,19689,-12,-0.06,0,0.00,-10.5,-0.05,-134,-0.27
10,Exit long,2023-08-08 05:13,Long X,1968.1,1,19689,-11,-0.06,2.5,0.01,-9.5,-0.05,-145,-0.29
10,Entry long,2023-08-08 05:06,Long,1968.9,1,19689,-11,-0.06,2.5,0.01,-9.5,-0.05,-145,-0.29
11,Exit long,2023-08-08 05:34,Long X,1967.7,1,19689,-15,-0.08,0,0.00,-13.5,-0.07,-160,-0.32
11,Entry long,2023-08-08 05:34,Long,1968.9,1,19689,-15,-0.08,0,0.00,-13.5,-0.07,-160,-0.32
12,Exit long,2023-08-08 06:26,Long X,1967.3,1,19683,-13,-0.07,15.5,0.08,-11.5,-0.06,-173,-0.35
12,Entry long,2023-08-08 05:36,Long,1968.3,1,19683,-13,-0.07,15.5,0.08,-11.5,-0.06,-173,-0.35
13,Exit long,2023-08-08 10:52,Long X,1962.6,1,19647,-24,-0.12,12.5,0.06,-22.5,-0.11,-197,-0.39
13,Entry long,2023-08-08 10:42,Long,1964.7,1,19647,-24,-0.12,12.5,0.06,-22.5,-0.11,-197,-0.39
14,Exit short,2023-08-10 10:16,Short X,1948.9,1,19540,48,0.25,49.5,0.25,-9.5,-0.05,-149,-0.30
14,Entry short,2023-08-10 10:01,Short,1954,1,19540,48,0.25,49.5,0.25,-9.5,-0.05,-149,-0.30
15,Exit short,2023-08-10 11:05,Short X,1945.4,1,19488,31,0.16,32.5,0.17,-9.5,-0.05,-118,-0.24
15,Entry short,2023-08-10 10:47,Short,1948.8,1,19488,31,0.16,32.5,0.17,-9.5,-0.05,-118,-0.24
