Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2025-07-07 13:15,VWAP X,3343.9,1,33345,91,0.27,92.5,0.28,-12.5,-0.04,91,0.18
1,Entry long,2025-07-07 12:30,VWAP,3334.5,1,33345,91,0.27,92.5,0.28,-12.5,-0.04,91,0.18
2,Exit long,2025-07-08 03:30,EMA X,3341.4,1,33449,-38,-0.11,45.5,0.14,-36.5,-0.11,53,0.11
2,Entry long,2025-07-08 02:30,EMA,3344.9,1,33449,-38,-0.11,45.5,0.14,-36.5,-0.11,53,0.11
3,Exit long,2025-07-14 04:15,EMA X,3377.3,1,33816,-46,-0.14,45.5,0.13,-44.5,-0.13,7,0.01
3,Entry long,2025-07-14 03:00,EMA,3381.6,1,33816,-46,-0.14,45.5,0.13,-44.5,-0.13,7,0.01
4,Exit long,2025-07-18 03:30,EMA X,3354.4,1,33477,64,0.19,65.5,0.20,-11.5,-0.03,71,0.14
4,Entry long,2025-07-18 03:00,EMA,3347.7,1,33477,64,0.19,65.5,0.20,-11.5,-0.03,71,0.14
5,Exit long,2025-07-22 08:15,EMA X,3409.7,1,34040,54,0.16,55.5,0.16,-5.5,-0.02,125,0.25
5,Entry long,2025-07-22 08:15,EMA,3404,1,34040,54,0.16,55.5,0.16,-5.5,-0.02,125,0.25
6,Exit long,2025-07-24 11:00,EMA X,3374.7,1,33802,-58,-0.17,0.5,0.00,-56.5,-0.17,67,0.13
6,Entry long,2025-07-24 10:45,EMA,3380.2,1,33802,-58,-0.17,0.5,0.00,-56.5,-0.17,67,0.13
7,Exit long,2025-08-07 10:15,VWAP X,3446.3,1,34533,-73,-0.21,2.5,0.01,-71.5,-0.21,-6,-0.01
7,Entry long,2025-08-07 10:15,VWAP,3453.3,1,34533,-73,-0.21,2.5,0.01,-71.5,-0.21,-6,-0.01
8,Exit long,2025-08-08 10:00,VWAP X,3482,1,34916,-99,-0.28,72.5,0.21,-97.5,-0.28,-105,-0.21
8,Entry long,2025-08-08 09:45,VWAP,3491.6,1,34916,-99,-0.28,72.5,0.21,-97.5,-0.28,-105,-0.21
9,Exit long,2025-08-12 09:45,EMA X,3397.5,1,34049,-77,-0.23,27.5,0.08,-75.5,-0.22,-182,-0.36
9,Entry long,2025-08-12 09:45,EMA,3404.9,1,34049,-77,-0.23,27.5,0.08,-75.5,-0.22,-182,-0.36
10,Exit long,2025-08-12 20:15,EMA X,3394.6,1,34035,-92,-0.27,12.5,0.04,-90.5,-0.27,-274,-0.55
10,Entry long,2025-08-12 11:45,EMA,3403.5,1,34035,-92,-0.27,12.5,0.04,-90.5,-0.27,-274,-0.55
11,Exit long,2025-08-15 04:00,INST X,3389,1,33923,-36,-0.11,20.5,0.06,-34.5,-0.10,-310,-0.62
11,Entry long,2025-08-15 04:00,INST,3392.3,1,33923,-36,-0.11,20.5,0.06,-34.5,-0.10,-310,-0.62
12,Exit long,2025-08-15 06:00,EMA X,3386.7,1,33906,-42,-0.12,4.5,0.01,-40.5,-0.12,-352,-0.70
12,Entry long,2025-08-15 05:30,EMA,3390.6,1,33906,-42,-0.12,4.5,0.01,-40.5,-0.12,-352,-0.70
13,Exit long,2025-08-15 09:15,EMA X,3385,1,33893,-46,-0.14,38.5,0.11,-44.5,-0.13,-398,-0.80
13,Entry long,2025-08-15 09:00,EMA,3389.3,1,33893,-46,-0.14,38.5,0.11,-44.5,-0.13,-398,-0.80
14,Exit long,2025-08-21 09:45,EMA X,3380,1,33846,-49,-0.14,63.5,0.19,-47.5,-0.14,-447,-0.89
14,Entry long,2025-08-21 09:00,EMA,3384.6,1,33846,-49,-0.14,63.5,0.19,-47.5,-0.14,-447,-0.89
15,Exit long,2025-08-21 11:00,VWAP X,3382.9,1,33883,-57,-0.17,35.5,0.10,-55.5,-0.16,-504,-1.01
15,Entry long,2025-08-21 10:15,VWAP,3388.3,1,33883,-57,-0.17,35.5,0.10,-55.5,-0.16,-504,-1.01
16,Exit long,2025-08-21 13:15,VWAP X,3381.2,1,33866,-57,-0.17,34.5,0.10,-55.5,-0.16,-561,-1.12
16,Entry long,2025-08-21 11:30,VWAP,3386.6,1,33866,-57,-0.17,34.5,0.10,-55.5,-0.16,-561,-1.12
17,Exit long,2025-08-22 10:00,EMA X,3383.5,1,33762,70,0.21,71.5,0.21,-1.5,0.00,-491,-0.98
17,Entry long,2025-08-22 10:00,EMA,3376.2,1,33762,70,0.21,71.5,0.21,-1.5,0.00,-491,-0.98
18,Exit long,2025-08-25 11:15,VWAP X,3421.4,1,34154,57,0.17,58.5,0.17,-16.5,-0.05,-434,-0.87
18,Entry long,2025-08-25 10:00,VWAP,3415.4,1,34154,57,0.17,58.5,0.17,-16.5,-0.05,-434,-0.87
19,Exit long,2025-08-26 05:30,EMA X,3418.8,1,34229,-44,-0.13,31.5,0.09,-42.5,-0.12,-478,-0.96
19,Entry long,2025-08-26 04:00,EMA,3422.9,1,34229,-44,-0.13,31.5,0.09,-42.5,-0.12,-478,-0.96
20,Exit long,2025-08-26 08:45,EMA X,3422.3,1,34265,-45,-0.13,17.5,0.05,-43.5,-0.13,-523,-1.05
20,Entry long,2025-08-26 07:45,EMA,3426.5,1,34265,-45,-0.13,17.5,0.05,-43.5,-0.13,-523,-1.05
21,Exit long,2025-08-26 09:45,VWAP X,3419.6,1,34239,-46,-0.13,1.5,0.00,-44.5,-0.13,-569,-1.14
21,Entry long,2025-08-26 09:45,VWAP,3423.9,1,34239,-46,-0.13,1.5,0.00,-44.5,-0.13,-569,-1.14
22,Exit long,2025-08-26 11:15,VWAP X,3430.3,1,34228,72,0.21,73.5,0.21,-52.5,-0.15,-497,-0.99
22,Entry long,2025-08-26 10:00,VWAP,3422.8,1,34228,72,0.21,73.5,0.21,-52.5,-0.15,-497,-0.99
23,Exit long,2025-08-28 03:00,EMA X,3449,1,34517,-30,-0.09,7.5,0.02,-28.5,-0.08,-527,-1.05
23,Entry long,2025-08-28 02:45,EMA,3451.7,1,34517,-30,-0.09,7.5,0.02,-28.5,-0.08,-527,-1.05
24,Exit long,2025-08-29 09:30,EMA X,3482.5,1,34760,62,0.18,63.5,0.18,-27.5,-0.08,-465,-0.93
24,Entry long,2025-08-29 09:00,EMA,3476,1,34760,62,0.18,63.5,0.18,-27.5,-0.08,-465,-0.93
25,Exit long,2025-09-02 08:15,EMA X,3553.2,1,35586,-57,-0.16,53.5,0.15,-55.5,-0.16,-522,-1.04
25,Entry long,2025-09-02 08:00,EMA,3558.6,1,35586,-57,-0.16,53.5,0.15,-55.5,-0.16,-522,-1.04
26,Exit long,2025-09-02 10:45,EMA X,3576.3,1,35603,157,0.44,158.5,0.45,-34.5,-0.10,-365,-0.73
26,Entry long,2025-09-02 10:15,EMA,3560.3,1,35603,157,0.44,158.5,0.45,-34.5,-0.10,-365,-0.73
27,Exit long,2025-09-04 10:15,VWAP X,3595.8,1,36036,-81,-0.22,2.5,0.01,-79.5,-0.22,-446,-0.89
27,Entry long,2025-09-04 10:15,VWAP,3603.6,1,36036,-81,-0.22,2.5,0.01,-79.5,-0.22,-446,-0.89
28,Exit long,2025-09-04 18:00,VWAP X,3597.5,1,36055,-83,-0.23,99.5,0.28,-81.5,-0.23,-529,-1.06
28,Entry long,2025-09-04 10:45,VWAP,3605.5,1,36055,-83,-0.23,99.5,0.28,-81.5,-0.23,-529,-1.06
29,Exit long,2025-09-09 10:30,VWAP X,3685.3,1,36934,-84,-0.23,13.5,0.04,-82.5,-0.22,-613,-1.23
29,Entry long,2025-09-09 10:30,VWAP,3693.4,1,36934,-84,-0.23,13.5,0.04,-82.5,-0.22,-613,-1.23
30,Exit long,2025-09-12 09:45,EMA X,3684.4,1,36890,-49,-0.13,15.5,0.04,-47.5,-0.13,-662,-1.32
30,Entry long,2025-09-12 09:45,EMA,3689,1,36890,-49,-0.13,15.5,0.04,-47.5,-0.13,-662,-1.32
31,Exit long,2025-09-12 10:45,VWAP X,3684.9,1,36899,-53,-0.14,26.5,0.07,-51.5,-0.14,-715,-1.43
31,Entry long,2025-09-12 10:15,VWAP,3689.9,1,36899,-53,-0.14,26.5,0.07,-51.5,-0.14,-715,-1.43
32,Exit long,2025-09-15 05:15,EMA X,3678.7,1,36824,-40,-0.11,2.5,0.01,-38.5,-0.10,-755,-1.51
32,Entry long,2025-09-15 05:00,EMA,3682.4,1,36824,-40,-0.11,2.5,0.01,-38.5,-0.10,-755,-1.51
33,Exit long,2025-09-15 06:45,EMA X,3677.4,1,36815,-44,-0.12,18.5,0.05,-42.5,-0.12,-799,-1.60
33,Entry long,2025-09-15 06:15,EMA,3681.5,1,36815,-44,-0.12,18.5,0.05,-42.5,-0.12,-799,-1.60
34,Exit long,2025-09-15 09:15,EMA X,3690.2,1,36825,74,0.20,75.5,0.21,-14.5,-0.04,-725,-1.45
34,Entry long,2025-09-15 08:45,EMA,3682.5,1,36825,74,0.20,75.5,0.21,-14.5,-0.04,-725,-1.45
35,Exit long,2025-09-16 10:30,EMA X,3728.3,1,37328,-48,-0.13,68.5,0.18,-46.5,-0.12,-773,-1.55
35,Entry long,2025-09-16 10:00,EMA,3732.8,1,37328,-48,-0.13,68.5,0.18,-46.5,-0.12,-773,-1.55
36,Exit long,2025-09-18 09:00,EMA X,3690.8,1,36970,-65,-0.18,102.5,0.28,-63.5,-0.17,-838,-1.68
36,Entry long,2025-09-18 04:45,EMA,3697,1,36970,-65,-0.18,102.5,0.28,-63.5,-0.17,-838,-1.68
37,Exit long,2025-09-19 07:30,INST X,3680.4,1,36851,-50,-0.14,66.5,0.18,-48.5,-0.13,-888,-1.78
37,Entry long,2025-09-19 03:30,INST,3685.1,1,36851,-50,-0.14,66.5,0.18,-48.5,-0.13,-888,-1.78
38,Exit long,2025-09-19 10:30,EMA X,3698.6,1,36894,89,0.24,90.5,0.25,-24.5,-0.07,-799,-1.60
38,Entry long,2025-09-19 09:45,EMA,3689.4,1,36894,89,0.24,90.5,0.25,-24.5,-0.07,-799,-1.60
39,Exit long,2025-09-23 12:30,VWAP X,3798.9,1,38059,-73,-0.19,82.5,0.22,-71.5,-0.19,-872,-1.74
39,Entry long,2025-09-23 10:45,VWAP,3805.9,1,38059,-73,-0.19,82.5,0.22,-71.5,-0.19,-872,-1.74
40,Exit long,2025-09-25 02:30,EMA X,3771.3,1,37765,-55,-0.15,20.5,0.05,-53.5,-0.14,-927,-1.85
40,Entry long,2025-09-25 02:15,EMA,3776.5,1,37765,-55,-0.15,20.5,0.05,-53.5,-0.14,-927,-1.85
41,Exit long,2025-09-25 08:30,INST X,3774.6,1,37806,-63,-0.17,62.5,0.17,-61.5,-0.16,-990,-1.98
41,Entry long,2025-09-25 07:30,INST,3780.6,1,37806,-63,-0.17,62.5,0.17,-61.5,-0.16,-990,-1.98
42,Exit long,2025-09-30 11:00,EMA X,3862.1,1,38726,-108,-0.28,94.5,0.24,-106.5,-0.27,-1098,-2.20
42,Entry long,2025-09-30 10:15,EMA,3872.6,1,38726,-108,-0.28,94.5,0.24,-106.5,-0.27,-1098,-2.20
43,Exit long,2025-10-03 08:30,EMA X,3893.3,1,38823,107,0.28,108.5,0.28,-52.5,-0.14,-991,-1.98
43,Entry long,2025-10-03 02:15,EMA,3882.3,1,38823,107,0.28,108.5,0.28,-52.5,-0.14,-991,-1.98
44,Exit long,2025-10-06 11:45,VWAP X,3984.5,1,39685,157,0.40,158.5,0.40,-49.5,-0.12,-834,-1.67
44,Entry long,2025-10-06 10:00,VWAP,3968.5,1,39685,157,0.40,158.5,0.40,-49.5,-0.12,-834,-1.67
45,Exit long,2025-10-10 11:45,EMA X,4014.1,1,40250,-112,-0.28,133.5,0.33,-110.5,-0.27,-946,-1.89
45,Entry long,2025-10-10 11:15,EMA,4025,1,40250,-112,-0.28,133.5,0.33,-110.5,-0.27,-946,-1.89
46,Exit long,2025-10-14 19:15,VWAP X,4181.1,1,41562,246,0.59,247.5,0.60,-58.5,-0.14,-700,-1.40
46,Entry long,2025-10-14 13:00,VWAP,4156.2,1,41562,246,0.59,247.5,0.60,-58.5,-0.14,-700,-1.40
47,Exit long,2025-10-23 09:15,EMA X,4157.7,1,41338,236,0.57,237.5,0.57,-5.5,-0.01,-464,-0.93
47,Entry long,2025-10-23 08:45,EMA,4133.8,1,41338,236,0.57,237.5,0.57,-5.5,-0.01,-464,-0.93
48,Exit long,2025-10-30 15:00,VWAP X,4035.3,1,40077,273,0.68,274.5,0.68,-81.5,-0.20,-191,-0.38
48,Entry long,2025-10-30 10:00,VWAP,4007.7,1,40077,273,0.68,274.5,0.68,-81.5,-0.20,-191,-0.38
49,Exit long,2025-10-31 05:15,EMA X,4017.5,1,40274,-102,-0.25,110.5,0.27,-100.5,-0.25,-293,-0.59
49,Entry long,2025-10-31 03:15,EMA,4027.4,1,40274,-102,-0.25,110.5,0.27,-100.5,-0.25,-293,-0.59
50,Exit long,2025-10-31 08:45,EMA X,4048.4,1,40316,165,0.41,166.5,0.41,-32.5,-0.08,-128,-0.26
50,Entry long,2025-10-31 08:30,EMA,4031.6,1,40316,165,0.41,166.5,0.41,-32.5,-0.08,-128,-0.26
51,Exit long,2025-10-31 12:00,VWAP X,4017.7,1,40282,-108,-0.27,115.5,0.29,-106.5,-0.26,-236,-0.47
51,Entry long,2025-10-31 10:00,VWAP,4028.2,1,40282,-108,-0.27,115.5,0.29,-106.5,-0.26,-236,-0.47
52,Exit long,2025-11-03 10:15,VWAP X,4025.3,1,40347,-97,-0.24,85.5,0.21,-95.5,-0.24,-333,-0.67
52,Entry long,2025-11-03 10:00,VWAP,4034.7,1,40347,-97,-0.24,85.5,0.21,-95.5,-0.24,-333,-0.67
53,Exit long,2025-11-03 11:15,VWAP X,4008.2,1,40193,-114,-0.28,51.5,0.13,-112.5,-0.28,-447,-0.89
53,Entry long,2025-11-03 11:00,VWAP,4019.3,1,40193,-114,-0.28,51.5,0.13,-112.5,-0.28,-447,-0.89
54,Exit long,2025-11-07 07:15,EMA X,4007.9,1,40141,-65,-0.16,2.5,0.01,-63.5,-0.16,-512,-1.02
54,Entry long,2025-11-07 07:15,EMA,4014.1,1,40141,-65,-0.16,2.5,0.01,-63.5,-0.16,-512,-1.02
55,Exit long,2025-11-07 11:45,VWAP X,4019.8,1,40292,-97,-0.24,12.5,0.03,-95.5,-0.24,-609,-1.22
55,Entry long,2025-11-07 11:45,VWAP,4029.2,1,40292,-97,-0.24,12.5,0.03,-95.5,-0.24,-609,-1.22
56,Exit long,2025-11-11 05:30,EMA X,4142.7,1,41499,-75,-0.18,24.5,0.06,-73.5,-0.18,-684,-1.37
56,Entry long,2025-11-11 04:15,EMA,4149.9,1,41499,-75,-0.18,24.5,0.06,-73.5,-0.18,-684,-1.37
57,Exit long,2025-11-17 03:15,EMA X,4082,1,40910,-93,-0.23,6.5,0.02,-91.5,-0.22,-777,-1.55
57,Entry long,2025-11-17 03:15,EMA,4091,1,40910,-93,-0.23,6.5,0.02,-91.5,-0.22,-777,-1.55
58,Exit long,2025-11-17 08:30,EMA X,4075.6,1,40852,-99,-0.24,34.5,0.08,-97.5,-0.24,-876,-1.75
58,Entry long,2025-11-17 08:15,EMA,4085.2,1,40852,-99,-0.24,34.5,0.08,-97.5,-0.24,-876,-1.75
59,Exit long,2025-11-18 08:30,EMA X,4057.8,1,40365,210,0.52,211.5,0.52,-84.5,-0.21,-666,-1.33
59,Entry long,2025-11-18 03:45,EMA,4036.5,1,40365,210,0.52,211.5,0.52,-84.5,-0.21,-666,-1.33
60,Exit long,2025-11-20 08:00,EMA X,4093.5,1,40723,209,0.51,210.5,0.52,-5.5,-0.01,-457,-0.91
60,Entry long,2025-11-20 07:30,EMA,4072.3,1,40723,209,0.51,210.5,0.52,-5.5,-0.01,-457,-0.91
61,Exit long,2025-11-21 09:00,EMA X,4081.8,1,40600,215,0.53,216.5,0.53,-29.5,-0.07,-242,-0.48
61,Entry long,2025-11-21 07:45,EMA,4060,1,40600,215,0.53,216.5,0.53,-29.5,-0.07,-242,-0.48
62,Exit long,2025-11-21 11:45,VWAP X,4090.9,1,40685,221,0.54,222.5,0.55,-69.5,-0.17,-21,-0.04
62,Entry long,2025-11-21 11:00,VWAP,4068.5,1,40685,221,0.54,222.5,0.55,-69.5,-0.17,-21,-0.04
63,Exit long,2025-11-24 07:30,EMA X,4076.8,1,40605,160,0.39,161.5,0.40,-55.5,-0.14,139,0.28
63,Entry long,2025-11-24 02:45,EMA,4060.5,1,40605,160,0.39,161.5,0.40,-55.5,-0.14,139,0.28
64,Exit long,2025-11-25 09:30,EMA X,4127.3,1,41389,-119,-0.29,92.5,0.22,-117.5,-0.28,20,0.04
64,Entry long,2025-11-25 08:30,EMA,4138.9,1,41389,-119,-0.29,92.5,0.22,-117.5,-0.28,20,0.04
65,Exit long,2025-11-25 13:30,VWAP X,4136.6,1,41472,-109,-0.26,88.5,0.21,-107.5,-0.26,-89,-0.18
65,Entry long,2025-11-25 12:15,VWAP,4147.2,1,41472,-109,-0.26,88.5,0.21,-107.5,-0.26,-89,-0.18
66,Exit long,2025-11-27 04:00,EMA X,4188.1,1,41935,-57,-0.14,60.5,0.14,-55.5,-0.13,-146,-0.29
66,Entry long,2025-11-27 02:15,EMA,4193.5,1,41935,-57,-0.14,60.5,0.14,-55.5,-0.13,-146,-0.29
67,Exit long,2025-11-27 11:00,EMA X,4188.3,1,41930,-50,-0.12,0,0.00,-48.5,-0.12,-196,-0.39
67,Entry long,2025-11-27 10:30,EMA,4193,1,41930,-50,-0.12,0,0.00,-48.5,-0.12,-196,-0.39
68,Exit long,2025-12-04 11:15,VWAP X,4250.4,1,42325,176,0.42,177.5,0.42,-20.5,-0.05,-20,-0.04
68,Entry long,2025-12-04 10:15,VWAP,4232.5,1,42325,176,0.42,177.5,0.42,-20.5,-0.05,-20,-0.04
69,Exit long,2025-12-09 10:00,VWAP X,4228.3,1,42348,-68,-0.16,49.5,0.12,-66.5,-0.16,-88,-0.18
69,Entry long,2025-12-09 09:45,VWAP,4234.8,1,42348,-68,-0.16,49.5,0.12,-66.5,-0.16,-88,-0.18
70,Exit long,2025-12-09 10:45,VWAP X,4227.7,1,42358,-84,-0.20,18.5,0.04,-82.5,-0.19,-172,-0.34
70,Entry long,2025-12-09 10:30,VWAP,4235.8,1,42358,-84,-0.20,18.5,0.04,-82.5,-0.19,-172,-0.34
71,Exit long,2025-12-12 10:45,VWAP X,4336.1,1,43487,-129,-0.30,51.5,0.12,-127.5,-0.29,-301,-0.60
71,Entry long,2025-12-12 10:45,VWAP,4348.7,1,43487,-129,-0.30,51.5,0.12,-127.5,-0.29,-301,-0.60
72,Exit long,2025-12-16 08:30,EMA X,4332,1,43199,118,0.27,119.5,0.28,-42.5,-0.10,-183,-0.37
72,Entry long,2025-12-16 07:30,EMA,4319.9,1,43199,118,0.27,119.5,0.28,-42.5,-0.10,-183,-0.37
73,Exit long,2025-12-18 09:30,EMA X,4362.3,1,43684,-64,-0.15,52.5,0.12,-62.5,-0.14,-247,-0.49
73,Entry long,2025-12-18 09:00,EMA,4368.4,1,43684,-64,-0.15,52.5,0.12,-62.5,-0.14,-247,-0.49
74,Exit long,2025-12-19 12:45,VWAP X,4389,1,43740,147,0.34,148.5,0.34,-63.5,-0.15,-100,-0.20
74,Entry long,2025-12-19 10:15,VWAP,4374,1,43740,147,0.34,148.5,0.34,-63.5,-0.15,-100,-0.20
75,Exit long,2025-12-26 08:30,EMA X,4562.5,1,45488,134,0.29,135.5,0.30,-1.5,0.00,34,0.07
75,Entry long,2025-12-26 08:30,EMA,4548.8,1,45488,134,0.29,135.5,0.30,-1.5,0.00,34,0.07
76,Exit long,2026-01-05 10:00,EMA X,4460.3,1,44406,194,0.44,195.5,0.44,-19.5,-0.04,228,0.46
76,Entry long,2026-01-05 09:45,EMA,4440.6,1,44406,194,0.44,195.5,0.44,-19.5,-0.04,228,0.46
77,Exit long,2026-01-09 10:15,EMA X,4513.1,1,44961,167,0.37,168.5,0.37,-84.5,-0.19,395,0.79
77,Entry long,2026-01-09 08:45,EMA,4496.1,1,44961,167,0.37,168.5,0.37,-84.5,-0.19,395,0.79
78,Exit long,2026-01-13 08:30,EMA X,4626.7,1,46116,148,0.32,149.5,0.32,-35.5,-0.08,543,1.09
78,Entry long,2026-01-13 08:15,EMA,4611.6,1,46116,148,0.32,149.5,0.32,-35.5,-0.08,543,1.09
79,Exit long,2026-01-15 11:30,EMA X,4611.9,1,46210,-94,-0.20,88.5,0.19,-92.5,-0.20,449,0.90
79,Entry long,2026-01-15 10:30,EMA,4621,1,46210,-94,-0.20,88.5,0.19,-92.5,-0.20,449,0.90
80,Exit long,2026-01-16 02:30,EMA X,4606.5,1,46141,-79,-0.17,0,0.00,-77.5,-0.17,370,0.74
80,Entry long,2026-01-16 02:15,EMA,4614.1,1,46141,-79,-0.17,0,0.00,-77.5,-0.17,370,0.74
81,Exit long,2026-01-16 10:15,EMA X,4611.3,1,46207,-97,-0.21,13.5,0.03,-95.5,-0.21,273,0.55
81,Entry long,2026-01-16 10:15,EMA,4620.7,1,46207,-97,-0.21,13.5,0.03,-95.5,-0.21,273,0.55
82,Exit long,2026-01-19 09:00,EMA X,4669,1,46754,-67,-0.14,33.5,0.07,-65.5,-0.14,206,0.41
82,Entry long,2026-01-19 07:30,EMA,4675.4,1,46754,-67,-0.14,33.5,0.07,-65.5,-0.14,206,0.41
83,Exit long,2026-01-19 13:15,VWAP X,4684.7,1,46733,111,0.24,112.5,0.24,-39.5,-0.08,317,0.63
