Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-09-19 08:30,Exit,1956,1,19576,-19,-0.10,14.5,0.07,-17.5,-0.09,-19,-0.04
1,Entry long,2023-09-19 08:05,Long,1957.6,1,19576,-19,-0.10,14.5,0.07,-17.5,-0.09,-19,-0.04
2,Exit long,2023-09-21 02:55,Exit,1947.9,1,19488,-12,-0.06,12.5,0.06,-10.5,-0.05,-31,-0.06
2,Entry long,2023-09-21 02:15,Long,1948.8,1,19488,-12,-0.06,12.5,0.06,-10.5,-0.05,-31,-0.06
3,Exit long,2023-10-16 10:05,Exit,1929.3,1,19339,-49,-0.25,0,0.00,-47.5,-0.25,-80,-0.16
3,Entry long,2023-10-16 09:50,Long,1933.9,1,19339,-49,-0.25,0,0.00,-47.5,-0.25,-80,-0.16
4,Exit long,2023-10-16 10:25,Exit,1929.2,1,19317,-28,-0.14,13.5,0.07,-26.5,-0.14,-108,-0.22
4,Entry long,2023-10-16 10:15,Long,1931.7,1,19317,-28,-0.14,13.5,0.07,-26.5,-0.14,-108,-0.22
5,Exit long,2023-10-16 20:30,Exit,1929.8,1,19334,-39,-0.20,22.5,0.12,-37.5,-0.19,-147,-0.29
5,Entry long,2023-10-16 11:10,Long,1933.4,1,19334,-39,-0.20,22.5,0.12,-37.5,-0.19,-147,-0.29
6,Exit long,2023-10-17 08:20,Exit,1941.8,1,19333,82,0.42,83.5,0.43,-5.5,-0.03,-65,-0.13
6,Entry long,2023-10-17 05:05,Long,1933.3,1,19333,82,0.42,83.5,0.43,-5.5,-0.03,-65,-0.13
7,Exit long,2023-10-17 09:05,Exit,1934.9,1,19384,-38,-0.20,21.5,0.11,-36.5,-0.19,-103,-0.21
7,Entry long,2023-10-17 08:50,Long,1938.4,1,19384,-38,-0.20,21.5,0.11,-36.5,-0.19,-103,-0.21
8,Exit long,2023-10-17 10:50,Exit,1935.7,1,19408,-54,-0.28,27.5,0.14,-52.5,-0.27,-157,-0.31
8,Entry long,2023-10-17 09:50,Long,1940.8,1,19408,-54,-0.28,27.5,0.14,-52.5,-0.27,-157,-0.31
9,Exit long,2023-10-19 04:40,Exit,1960.1,1,19620,-22,-0.11,40.5,0.21,-20.5,-0.10,-179,-0.36
9,Entry long,2023-10-19 04:05,Long,1962,1,19620,-22,-0.11,40.5,0.21,-20.5,-0.10,-179,-0.36
10,Exit long,2023-10-19 08:20,Exit,1966.5,1,19623,39,0.20,40.5,0.21,-10.5,-0.05,-140,-0.28
10,Entry long,2023-10-19 06:40,Long,1962.3,1,19623,39,0.20,40.5,0.21,-10.5,-0.05,-140,-0.28
11,Exit long,2023-10-19 09:30,Exit,1962.2,1,19666,-47,-0.24,21.5,0.11,-45.5,-0.23,-187,-0.37
11,Entry long,2023-10-19 08:25,Long,1966.6,1,19666,-47,-0.24,21.5,0.11,-45.5,-0.23,-187,-0.37
12,Exit long,2023-10-19 10:35,Exit,1962.1,1,19659,-41,-0.21,21.5,0.11,-39.5,-0.20,-228,-0.46
12,Entry long,2023-10-19 09:40,Long,1965.9,1,19659,-41,-0.21,21.5,0.11,-39.5,-0.20,-228,-0.46
13,Exit long,2023-10-19 19:30,Exit,1992.1,1,19726,192,0.97,193.5,0.98,-13.5,-0.07,-36,-0.07
13,Entry long,2023-10-19 12:55,Long,1972.6,1,19726,192,0.97,193.5,0.98,-13.5,-0.07,-36,-0.07
14,Exit long,2023-10-20 02:20,Exit,1988.5,1,19897,-15,-0.08,19.5,0.10,-13.5,-0.07,-51,-0.10
14,Entry long,2023-10-20 02:05,Long,1989.7,1,19897,-15,-0.08,19.5,0.10,-13.5,-0.07,-51,-0.10
15,Exit long,2023-10-20 07:35,Exit,1993.8,1,19969,-34,-0.17,1.5,0.01,-32.5,-0.16,-85,-0.17
15,Entry long,2023-10-20 07:10,Long,1996.9,1,19969,-34,-0.17,1.5,0.01,-32.5,-0.16,-85,-0.17
16,Exit long,2023-10-23 04:05,Exit,1992.9,1,19870,56,0.28,57.5,0.29,-12.5,-0.06,-29,-0.06
16,Entry long,2023-10-23 03:05,Long,1987,1,19870,56,0.28,57.5,0.29,-12.5,-0.06,-29,-0.06
17,Exit long,2023-10-23 08:10,Exit,1988.7,1,19901,-17,-0.09,11.5,0.06,-15.5,-0.08,-46,-0.09
17,Entry long,2023-10-23 07:55,Long,1990.1,1,19901,-17,-0.09,11.5,0.06,-15.5,-0.08,-46,-0.09
18,Exit long,2023-10-23 09:30,Exit,1987.1,1,19917,-49,-0.25,15.5,0.08,-47.5,-0.24,-95,-0.19
18,Entry long,2023-10-23 08:20,Long,1991.7,1,19917,-49,-0.25,15.5,0.08,-47.5,-0.24,-95,-0.19
19,Exit long,2023-10-24 03:35,Exit,1986.6,1,19877,-14,-0.07,25.5,0.13,-12.5,-0.06,-109,-0.22
19,Entry long,2023-10-24 02:40,Long,1987.7,1,19877,-14,-0.07,25.5,0.13,-12.5,-0.06,-109,-0.22
20,Exit long,2023-10-27 02:25,Exit,1996.4,1,19982,-21,-0.11,0,0.00,-19.5,-0.10,-130,-0.26
20,Entry long,2023-10-27 02:25,Long,1998.2,1,19982,-21,-0.11,0,0.00,-19.5,-0.10,-130,-0.26
21,Exit long,2023-10-27 03:00,Exit,1996.7,1,19987,-23,-0.12,0.5,0.00,-21.5,-0.11,-153,-0.31
21,Entry long,2023-10-27 02:50,Long,1998.7,1,19987,-23,-0.12,0.5,0.00,-21.5,-0.11,-153,-0.31
22,Exit long,2023-10-30 10:35,Exit,2005.2,1,20089,-40,-0.20,31.5,0.16,-38.5,-0.19,-193,-0.39
22,Entry long,2023-10-30 09:55,Long,2008.9,1,20089,-40,-0.20,31.5,0.16,-38.5,-0.19,-193,-0.39
23,Exit long,2023-10-31 09:00,Exit,2003.7,1,20070,-36,-0.18,38.5,0.19,-34.5,-0.17,-229,-0.46
23,Entry long,2023-10-31 04:20,Long,2007,1,20070,-36,-0.18,38.5,0.19,-34.5,-0.17,-229,-0.46
24,Exit long,2023-11-02 09:15,Exit,1994.3,1,19966,-26,-0.13,24.5,0.12,-24.5,-0.12,-255,-0.51
24,Entry long,2023-11-02 06:40,Long,1996.6,1,19966,-26,-0.13,24.5,0.12,-24.5,-0.12,-255,-0.51
25,Exit long,2023-11-03 03:45,Exit,1996.7,1,19941,23,0.12,24.5,0.12,-2.5,-0.01,-232,-0.46
25,Entry long,2023-11-03 02:15,Long,1994.1,1,19941,23,0.12,24.5,0.12,-2.5,-0.01,-232,-0.46
26,Exit long,2023-11-03 08:25,Exit,1994.2,1,19978,-39,-0.20,6.5,0.03,-37.5,-0.19,-271,-0.54
26,Entry long,2023-11-03 08:25,Long,1997.8,1,19978,-39,-0.20,6.5,0.03,-37.5,-0.19,-271,-0.54
27,Exit long,2023-11-03 10:15,Exit,1999,1,20043,-56,-0.28,4.5,0.02,-54.5,-0.27,-327,-0.65
27,Entry long,2023-11-03 10:05,Long,2004.3,1,20043,-56,-0.28,4.5,0.02,-54.5,-0.27,-327,-0.65
28,Exit long,2023-11-06 07:15,Exit,1993,1,19942,-15,-0.08,8.5,0.04,-13.5,-0.07,-342,-0.68
28,Entry long,2023-11-06 06:30,Long,1994.2,1,19942,-15,-0.08,8.5,0.04,-13.5,-0.07,-342,-0.68
29,Exit long,2023-11-09 14:10,Exit,1963.8,1,19689,-54,-0.27,22.5,0.11,-52.5,-0.27,-396,-0.79
29,Entry long,2023-11-09 13:20,Long,1968.9,1,19689,-54,-0.27,22.5,0.11,-52.5,-0.27,-396,-0.79
30,Exit long,2023-11-17 09:50,Exit,1982.8,1,19879,-54,-0.27,83.5,0.42,-52.5,-0.26,-450,-0.90
30,Entry long,2023-11-16 13:05,Long,1987.9,1,19879,-54,-0.27,83.5,0.42,-52.5,-0.26,-450,-0.90
31,Exit long,2023-11-21 08:20,Exit,1997.2,1,19806,163,0.82,164.5,0.83,-26.5,-0.13,-287,-0.57
31,Entry long,2023-11-20 13:05,Long,1980.6,1,19806,163,0.82,164.5,0.83,-26.5,-0.13,-287,-0.57
32,Exit long,2023-11-23 03:00,Exit,1996,1,19980,-23,-0.12,12.5,0.06,-21.5,-0.11,-310,-0.62
32,Entry long,2023-11-23 02:30,Long,1998,1,19980,-23,-0.12,12.5,0.06,-21.5,-0.11,-310,-0.62
33,Exit long,2023-11-24 05:20,Exit,1997.2,1,19949,20,0.10,21.5,0.11,-11.5,-0.06,-290,-0.58
33,Entry long,2023-11-24 04:25,Long,1994.9,1,19949,20,0.10,21.5,0.11,-11.5,-0.06,-290,-0.58
34,Exit long,2023-11-24 08:15,Exit,1995.2,1,19965,-16,-0.08,13.5,0.07,-14.5,-0.07,-306,-0.61
34,Entry long,2023-11-24 07:05,Long,1996.5,1,19965,-16,-0.08,13.5,0.07,-14.5,-0.07,-306,-0.61
35,Exit long,2023-11-26 20:15,Exit,2008.2,1,19989,90,0.45,91.5,0.46,-17.5,-0.09,-216,-0.43
35,Entry long,2023-11-24 08:30,Long,1998.9,1,19989,90,0.45,91.5,0.46,-17.5,-0.09,-216,-0.43
36,Exit long,2023-11-27 08:40,Exit,2010.8,1,20130,-25,-0.12,43.5,0.22,-23.5,-0.12,-241,-0.48
36,Entry long,2023-11-27 03:15,Long,2013,1,20130,-25,-0.12,43.5,0.22,-23.5,-0.12,-241,-0.48
37,Exit long,2023-11-28 07:55,Exit,2014.6,1,20158,-15,-0.07,4.5,0.02,-13.5,-0.07,-256,-0.51
37,Entry long,2023-11-28 07:15,Long,2015.8,1,20158,-15,-0.07,4.5,0.02,-13.5,-0.07,-256,-0.51
38,Exit long,2023-12-01 02:50,Exit,2059.6,1,20609,-16,-0.08,3.5,0.02,-14.5,-0.07,-272,-0.54
38,Entry long,2023-12-01 02:05,Long,2060.9,1,20609,-16,-0.08,3.5,0.02,-14.5,-0.07,-272,-0.54
39,Exit long,2023-12-01 03:55,Exit,2064.7,1,20610,34,0.16,35.5,0.17,-2.5,-0.01,-238,-0.48
39,Entry long,2023-12-01 03:35,Long,2061,1,20610,34,0.16,35.5,0.17,-2.5,-0.01,-238,-0.48
40,Exit long,2023-12-07 06:25,Exit,2048.4,1,20508,-27,-0.13,5.5,0.03,-25.5,-0.12,-265,-0.53
40,Entry long,2023-12-07 05:45,Long,2050.8,1,20508,-27,-0.13,5.5,0.03,-25.5,-0.12,-265,-0.53
41,Exit long,2023-12-07 08:30,Exit,2048.3,1,20499,-19,-0.09,15.5,0.08,-17.5,-0.09,-284,-0.57
41,Entry long,2023-12-07 08:20,Long,2049.9,1,20499,-19,-0.09,15.5,0.08,-17.5,-0.09,-284,-0.57
42,Exit long,2023-12-07 09:15,Exit,2049,1,20518,-31,-0.15,52.5,0.26,-29.5,-0.14,-315,-0.63
42,Entry long,2023-12-07 08:40,Long,2051.8,1,20518,-31,-0.15,52.5,0.26,-29.5,-0.14,-315,-0.63
43,Exit long,2023-12-12 03:05,Exit,2001.5,1,20031,-19,-0.09,7.5,0.04,-17.5,-0.09,-334,-0.67
43,Entry long,2023-12-12 02:55,Long,2003.1,1,20031,-19,-0.09,7.5,0.04,-17.5,-0.09,-334,-0.67
44,Exit long,2023-12-12 08:30,Exit,2009.6,1,20033,60,0.30,61.5,0.31,-15.5,-0.08,-274,-0.55
44,Entry long,2023-12-12 06:40,Long,2003.3,1,20033,60,0.30,61.5,0.31,-15.5,-0.08,-274,-0.55
45,Exit long,2023-12-14 05:10,Exit,2046.8,1,20503,-38,-0.19,48.5,0.24,-36.5,-0.18,-312,-0.62
45,Entry long,2023-12-14 03:10,Long,2050.3,1,20503,-38,-0.19,48.5,0.24,-36.5,-0.18,-312,-0.62
46,Exit long,2023-12-14 08:15,Exit,2049,1,20516,-29,-0.14,22.5,0.11,-27.5,-0.13,-341,-0.68
46,Entry long,2023-12-14 07:25,Long,2051.6,1,20516,-29,-0.14,22.5,0.11,-27.5,-0.13,-341,-0.68
47,Exit long,2023-12-14 12:40,Exit,2049.8,1,20585,-90,-0.44,41.5,0.20,-88.5,-0.43,-431,-0.86
47,Entry long,2023-12-14 09:35,Long,2058.5,1,20585,-90,-0.44,41.5,0.20,-88.5,-0.43,-431,-0.86
48,Exit long,2023-12-15 03:15,Exit,2053.7,1,20506,28,0.14,29.5,0.14,-4.5,-0.02,-403,-0.81
48,Entry long,2023-12-15 02:05,Long,2050.6,1,20506,28,0.14,29.5,0.14,-4.5,-0.02,-403,-0.81
49,Exit long,2023-12-15 08:30,Exit,2050.8,1,20533,-28,-0.14,61.5,0.30,-26.5,-0.13,-431,-0.86
49,Entry long,2023-12-15 03:35,Long,2053.3,1,20533,-28,-0.14,61.5,0.30,-26.5,-0.13,-431,-0.86
50,Exit long,2023-12-18 03:00,Exit,2036.1,1,20374,-16,-0.08,6.5,0.03,-14.5,-0.07,-447,-0.89
50,Entry long,2023-12-18 02:05,Long,2037.4,1,20374,-16,-0.08,6.5,0.03,-14.5,-0.07,-447,-0.89
51,Exit long,2023-12-18 03:35,Exit,2036.7,1,20387,-23,-0.11,0,0.00,-21.5,-0.11,-470,-0.94
51,Entry long,2023-12-18 03:20,Long,2038.7,1,20387,-23,-0.11,0,0.00,-21.5,-0.11,-470,-0.94
52,Exit long,2023-12-18 04:55,Exit,2036.6,1,20383,-20,-0.10,31.5,0.15,-18.5,-0.09,-490,-0.98
52,Entry long,2023-12-18 03:45,Long,2038.3,1,20383,-20,-0.10,31.5,0.15,-18.5,-0.09,-490,-0.98
53,Exit long,2023-12-18 09:15,Exit,2036.3,1,20380,-20,-0.10,27.5,0.13,-18.5,-0.09,-510,-1.02
53,Entry long,2023-12-18 07:55,Long,2038,1,20380,-20,-0.10,27.5,0.13,-18.5,-0.09,-510,-1.02
54,Exit long,2023-12-19 08:15,Exit,2045.8,1,20393,62,0.30,63.5,0.31,-19.5,-0.10,-448,-0.90
54,Entry long,2023-12-19 02:20,Long,2039.3,1,20393,62,0.30,63.5,0.31,-19.5,-0.10,-448,-0.90
55,Exit long,2023-12-22 08:50,Exit,2080.8,1,20518,287,1.40,288.5,1.41,-35.5,-0.17,-161,-0.32
55,Entry long,2023-12-21 08:35,Long,2051.8,1,20518,287,1.40,288.5,1.41,-35.5,-0.17,-161,-0.32
56,Exit long,2023-12-28 02:45,Exit,2095.6,1,20971,-18,-0.09,2.5,0.01,-16.5,-0.08,-179,-0.36
56,Entry long,2023-12-28 02:15,Long,2097.1,1,20971,-18,-0.09,2.5,0.01,-16.5,-0.08,-179,-0.36
57,Exit long,2024-01-04 04:25,Exit,2053.3,1,20551,-21,-0.10,6.5,0.03,-19.5,-0.09,-200,-0.40
57,Entry long,2024-01-04 04:15,Long,2055.1,1,20551,-21,-0.10,6.5,0.03,-19.5,-0.09,-200,-0.40
58,Exit long,2024-01-04 06:50,Exit,2053.4,1,20560,-29,-0.14,18.5,0.09,-27.5,-0.13,-229,-0.46
58,Entry long,2024-01-04 04:35,Long,2056,1,20560,-29,-0.14,18.5,0.09,-27.5,-0.13,-229,-0.46
59,Exit long,2024-01-09 03:10,Exit,2038.4,1,20409,-28,-0.14,31.5,0.15,-26.5,-0.13,-257,-0.51
59,Entry long,2024-01-09 02:10,Long,2040.9,1,20409,-28,-0.14,31.5,0.15,-26.5,-0.13,-257,-0.51
60,Exit long,2024-01-09 08:05,Exit,2039.4,1,20414,-23,-0.11,33.5,0.16,-21.5,-0.11,-280,-0.56
60,Entry long,2024-01-09 04:30,Long,2041.4,1,20414,-23,-0.11,33.5,0.16,-21.5,-0.11,-280,-0.56
61,Exit long,2024-01-09 09:45,Exit,2040.6,1,20446,-43,-0.21,18.5,0.09,-41.5,-0.20,-323,-0.65
61,Entry long,2024-01-09 08:40,Long,2044.6,1,20446,-43,-0.21,18.5,0.09,-41.5,-0.20,-323,-0.65
62,Exit long,2024-01-11 07:55,Exit,2036.9,1,20379,-13,-0.06,6.5,0.03,-11.5,-0.06,-336,-0.67
62,Entry long,2024-01-11 07:30,Long,2037.9,1,20379,-13,-0.06,6.5,0.03,-11.5,-0.06,-336,-0.67
63,Exit long,2024-01-11 08:20,Exit,2043.1,1,20381,47,0.23,48.5,0.24,-1.5,-0.01,-289,-0.58
63,Entry long,2024-01-11 08:05,Long,2038.1,1,20381,47,0.23,48.5,0.24,-1.5,-0.01,-289,-0.58
