Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit short,2023-09-14 06:25,MS-Exit,1929.4,1,19273,-24,-0.12,8.5,0.04,-22.5,-0.12,-24,-0.05
1,Entry short,2023-09-14 03:10,M-Short,1927.3,1,19273,-24,-0.12,8.5,0.04,-22.5,-0.12,-24,-0.05
2,Exit short,2023-09-14 10:45,MS-Exit,1929.6,1,19223,-76,-0.40,3.5,0.02,-74.5,-0.39,-100,-0.20
2,Entry short,2023-09-14 10:05,M-Short,1922.3,1,19223,-76,-0.40,3.5,0.02,-74.5,-0.39,-100,-0.20
3,Exit short,2023-09-18 11:45,MS-Exit,1950.5,1,19480,-28,-0.14,40.5,0.21,-26.5,-0.14,-128,-0.26
3,Entry short,2023-09-18 03:40,M-Short,1948,1,19480,-28,-0.14,40.5,0.21,-26.5,-0.14,-128,-0.26
4,Exit short,2023-09-22 09:05,MS-Exit,1946.7,1,19445,-25,-0.13,6.5,0.03,-23.5,-0.12,-153,-0.31
4,Entry short,2023-09-22 06:15,M-Short,1944.5,1,19445,-25,-0.13,6.5,0.03,-23.5,-0.12,-153,-0.31
5,Exit short,2023-09-25 02:45,MS-Exit,1942.7,1,19409,-21,-0.11,5.5,0.03,-19.5,-0.10,-174,-0.35
5,Entry short,2023-09-25 02:05,M-Short,1940.9,1,19409,-21,-0.11,5.5,0.03,-19.5,-0.10,-174,-0.35
6,Exit short,2023-09-27 08:00,MS-Exit,1909.9,1,19376,274,1.41,275.5,1.42,-11.5,-0.06,100,0.20
6,Entry short,2023-09-25 10:20,M-Short,1937.6,1,19376,274,1.41,275.5,1.42,-11.5,-0.06,100,0.20
7,Exit short,2023-09-29 09:10,MS-Exit,1894.5,1,18879,-69,-0.37,132.5,0.70,-67.5,-0.36,31,0.06
7,Entry short,2023-09-28 10:35,M-Short,1887.9,1,18879,-69,-0.37,132.5,0.70,-67.5,-0.36,31,0.06
8,Exit short,2023-10-02 01:50,MS-Exit,1855.1,1,18741,187,1.00,188.5,1.01,-5.5,-0.03,218,0.44
8,Entry short,2023-09-29 11:05,M-Short,1874.1,1,18741,187,1.00,188.5,1.01,-5.5,-0.03,218,0.44
9,Exit short,2023-10-02 19:15,MS-Exit,1837.6,1,18562,183,0.99,184.5,0.99,-29.5,-0.16,401,0.80
9,Entry short,2023-10-02 03:45,M-Short,1856.2,1,18562,183,0.99,184.5,0.99,-29.5,-0.16,401,0.80
10,Exit short,2023-10-05 08:35,MS-Exit,1829.8,1,18390,89,0.48,90.5,0.49,-3.5,-0.02,490,0.98
10,Entry short,2023-10-05 02:05,M-Short,1839,1,18390,89,0.48,90.5,0.49,-3.5,-0.02,490,0.98
11,Exit short,2023-10-05 18:05,MS-Exit,1835.4,1,18287,-70,-0.38,5.5,0.03,-68.5,-0.37,420,0.84
11,Entry short,2023-10-05 11:50,M-Short,1828.7,1,18287,-70,-0.38,5.5,0.03,-68.5,-0.37,420,0.84
12,Exit short,2023-10-09 11:05,MS-Exit,1866.4,1,18622,-45,-0.24,45.5,0.24,-43.5,-0.23,375,0.75
