Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit short,2023-09-12 21:15,MS-X,1935.7,1,19348,-12,-0.06,2.5,0.01,-10.5,-0.05,-12,-0.02
1,Entry short,2023-09-12 21:00,M-Short,1934.8,1,19348,-12,-0.06,2.5,0.01,-10.5,-0.05,-12,-0.02
2,Exit long,2023-09-18 20:30,WL-X,1954.6,1,19554,-11,-0.06,5.5,0.03,-9.5,-0.05,-23,-0.05
2,Entry long,2023-09-18 19:15,W-Long,1955.4,1,19554,-11,-0.06,5.5,0.03,-9.5,-0.05,-23,-0.05
3,Exit short,2023-09-25 03:05,MS-X,1945.9,1,19443,-19,-0.10,39.5,0.20,-17.5,-0.09,-42,-0.08
3,Entry short,2023-09-24 19:05,M-Short,1944.3,1,19443,-19,-0.10,39.5,0.20,-17.5,-0.09,-42,-0.08
4,Exit short,2023-09-25 22:30,MS-X,1932.3,1,19349,23,0.12,24.5,0.13,-3.5,-0.02,-19,-0.04
4,Entry short,2023-09-25 20:00,M-Short,1934.9,1,19349,23,0.12,24.5,0.13,-3.5,-0.02,-19,-0.04
5,Exit short,2023-09-26 04:25,MS-X,1934.5,1,19323,-25,-0.13,39.5,0.20,-23.5,-0.12,-44,-0.09
5,Entry short,2023-09-25 22:35,M-Short,1932.3,1,19323,-25,-0.13,39.5,0.20,-23.5,-0.12,-44,-0.09
6,Exit short,2023-10-02 01:50,MS-X,1855.1,1,18741,187,1.00,188.5,1.01,-5.5,-0.03,143,0.29
6,Entry short,2023-09-29 11:05,M-Short,1874.1,1,18741,187,1.00,188.5,1.01,-5.5,-0.03,143,0.29
7,Exit short,2023-10-02 22:10,MS-X,1835.2,1,18425,70,0.38,71.5,0.39,-5.5,-0.03,213,0.43
7,Entry short,2023-10-02 19:10,M-Short,1842.5,1,18425,70,0.38,71.5,0.39,-5.5,-0.03,213,0.43
8,Exit short,2023-10-03 02:55,MS-X,1840,1,18358,-45,-0.25,46.5,0.25,-43.5,-0.24,168,0.34
8,Entry short,2023-10-02 22:15,M-Short,1835.8,1,18358,-45,-0.25,46.5,0.25,-43.5,-0.24,168,0.34
9,Exit short,2023-10-03 19:20,MS-X,1840,1,18381,-22,-0.12,0,0.00,-20.5,-0.11,146,0.29
9,Entry short,2023-10-03 18:55,M-Short,1838.1,1,18381,-22,-0.12,0,0.00,-20.5,-0.11,146,0.29
10,Exit short,2023-10-04 07:10,MS-X,1840.4,1,18368,-39,-0.21,49.5,0.27,-37.5,-0.20,107,0.21
10,Entry short,2023-10-03 21:40,M-Short,1836.8,1,18368,-39,-0.21,49.5,0.27,-37.5,-0.20,107,0.21
11,Exit short,2023-10-10 02:40,MS-X,1869.1,1,18753,59,0.31,60.5,0.32,-5.5,-0.03,166,0.33
11,Entry short,2023-10-10 00:05,M-Short,1875.3,1,18753,59,0.31,60.5,0.32,-5.5,-0.03,166,0.33
12,Exit long,2023-10-17 21:25,WL-X,1947.1,1,19377,91,0.47,92.5,0.48,-15.5,-0.08,257,0.51
12,Entry long,2023-10-17 18:45,W-Long,1937.7,1,19377,91,0.47,92.5,0.48,-15.5,-0.08,257,0.51
13,Exit long,2023-10-20 12:50,WL-X,1994.8,1,20049,-104,-0.52,28.5,0.14,-102.5,-0.51,153,0.31
13,Entry long,2023-10-20 11:35,W-Long,2004.9,1,20049,-104,-0.52,28.5,0.14,-102.5,-0.51,153,0.31
14,Exit long,2023-10-23 09:40,WL-X,1982.2,1,19855,-36,-0.18,86.5,0.44,-34.5,-0.17,117,0.23
14,Entry long,2023-10-22 23:55,W-Long,1985.5,1,19855,-36,-0.18,86.5,0.44,-34.5,-0.17,117,0.23
15,Exit long,2023-10-24 01:45,WL-X,1986.1,1,19908,-50,-0.25,10.5,0.05,-48.5,-0.24,67,0.13
15,Entry long,2023-10-23 22:20,W-Long,1990.8,1,19908,-50,-0.25,10.5,0.05,-48.5,-0.24,67,0.13
16,Exit long,2023-10-24 22:50,WL-X,1983.3,1,19870,-40,-0.20,7.5,0.04,-38.5,-0.19,27,0.05
16,Entry long,2023-10-24 21:55,W-Long,1987,1,19870,-40,-0.20,7.5,0.04,-38.5,-0.19,27,0.05
17,Exit long,2023-10-27 14:05,WL-X,2010.1,1,19942,156,0.78,157.5,0.79,-7.5,-0.04,183,0.37
17,Entry long,2023-10-27 13:10,W-Long,1994.2,1,19942,156,0.78,157.5,0.79,-7.5,-0.04,183,0.37
18,Exit long,2023-10-29 22:20,WL-X,2011.7,1,20149,-35,-0.17,17.5,0.09,-33.5,-0.17,148,0.30
18,Entry long,2023-10-29 20:40,W-Long,2014.9,1,20149,-35,-0.17,17.5,0.09,-33.5,-0.17,148,0.30
19,Exit long,2023-12-01 02:50,WL-X,2058.8,1,20608,-23,-0.11,15.5,0.08,-21.5,-0.10,125,0.25
19,Entry long,2023-12-01 00:50,W-Long,2060.8,1,20608,-23,-0.11,15.5,0.08,-21.5,-0.10,125,0.25
20,Exit long,2023-12-03 18:15,WL-X,2105.9,1,20834,222,1.07,223.5,1.07,-3.5,-0.02,347,0.69
20,Entry long,2023-12-01 12:45,W-Long,2083.4,1,20834,222,1.07,223.5,1.07,-3.5,-0.02,347,0.69
21,Exit long,2023-12-04 23:30,WL-X,2053.3,1,20562,-32,-0.16,0,0.00,-30.5,-0.15,315,0.63
21,Entry long,2023-12-04 23:05,W-Long,2056.2,1,20562,-32,-0.16,0,0.00,-30.5,-0.15,315,0.63
22,Exit long,2023-12-05 20:30,WL-X,2037,1,20400,-33,-0.16,5.5,0.03,-31.5,-0.15,282,0.56
22,Entry long,2023-12-05 19:55,W-Long,2040,1,20400,-33,-0.16,5.5,0.03,-31.5,-0.15,282,0.56
23,Exit long,2023-12-05 23:40,WL-X,2038.7,1,20410,-26,-0.13,3.5,0.02,-24.5,-0.12,256,0.51
23,Entry long,2023-12-05 22:55,W-Long,2041,1,20410,-26,-0.13,3.5,0.02,-24.5,-0.12,256,0.51
24,Exit long,2023-12-11 19:35,WL-X,2002,1,19980,37,0.19,38.5,0.19,-9.5,-0.05,293,0.59
24,Entry long,2023-12-11 18:05,W-Long,1998,1,19980,37,0.19,38.5,0.19,-9.5,-0.05,293,0.59
25,Exit long,2023-12-11 21:55,WL-X,1997.1,1,20012,-44,-0.22,1.5,0.01,-42.5,-0.21,249,0.50
25,Entry long,2023-12-11 19:40,W-Long,2001.2,1,20012,-44,-0.22,1.5,0.01,-42.5,-0.21,249,0.50
26,Exit long,2023-12-12 03:50,WL-X,1999.5,1,20026,-34,-0.17,14.5,0.07,-32.5,-0.16,215,0.43
26,Entry long,2023-12-12 00:45,W-Long,2002.6,1,20026,-34,-0.17,14.5,0.07,-32.5,-0.16,215,0.43
27,Exit long,2023-12-12 21:05,WL-X,1994.3,1,19969,-29,-0.15,8.5,0.04,-27.5,-0.14,186,0.37
27,Entry long,2023-12-12 18:35,W-Long,1996.9,1,19969,-29,-0.15,8.5,0.04,-27.5,-0.14,186,0.37
28,Exit long,2023-12-19 09:45,WL-X,2052.6,1,20372,151,0.74,152.5,0.75,-49.5,-0.24,337,0.67
28,Entry long,2023-12-17 20:15,W-Long,2037.2,1,20372,151,0.74,152.5,0.75,-49.5,-0.24,337,0.67
29,Exit long,2023-12-25 20:45,WL-X,2071.9,1,20668,48,0.23,49.5,0.24,-2.5,-0.01,385,0.77
29,Entry long,2023-12-25 20:05,W-Long,2066.8,1,20668,48,0.23,49.5,0.24,-2.5,-0.01,385,0.77
30,Exit long,2023-12-26 22:00,WL-X,2075.8,1,20786,-31,-0.15,4.5,0.02,-29.5,-0.14,354,0.71
30,Entry long,2023-12-26 20:35,W-Long,2078.6,1,20786,-31,-0.15,4.5,0.02,-29.5,-0.14,354,0.71
31,Exit long,2023-12-29 03:55,WL-X,2078.7,1,20814,-30,-0.14,25.5,0.12,-28.5,-0.14,324,0.65
31,Entry long,2023-12-29 01:00,W-Long,2081.4,1,20814,-30,-0.14,25.5,0.12,-28.5,-0.14,324,0.65
32,Exit long,2023-12-29 13:00,WL-X,2070.7,1,20757,-53,-0.26,17.5,0.08,-51.5,-0.25,271,0.54
32,Entry long,2023-12-29 11:20,W-Long,2075.7,1,20757,-53,-0.26,17.5,0.08,-51.5,-0.25,271,0.54
33,Exit long,2024-01-02 07:20,WL-X,2074.4,1,20780,-39,-0.19,99.5,0.48,-37.5,-0.18,232,0.46
33,Entry long,2024-01-01 22:20,W-Long,2078,1,20780,-39,-0.19,99.5,0.48,-37.5,-0.18,232,0.46
34,Exit long,2024-01-03 03:25,WL-X,2068.8,1,20717,-32,-0.15,24.5,0.12,-30.5,-0.15,200,0.40
34,Entry long,2024-01-02 21:25,W-Long,2071.7,1,20717,-32,-0.15,24.5,0.12,-30.5,-0.15,200,0.40
35,Exit long,2024-01-09 18:30,WL-X,2035.3,1,20368,-18,-0.09,0.5,0.00,-16.5,-0.08,182,0.36
35,Entry long,2024-01-09 18:15,W-Long,2036.8,1,20368,-18,-0.09,0.5,0.00,-16.5,-0.08,182,0.36
36,Exit short,2024-01-14 22:35,MS-X,2061.5,1,20517,-101,-0.49,56.5,0.28,-99.5,-0.48,81,0.16
36,Entry short,2024-01-12 12:05,M-Short,2051.7,1,20517,-101,-0.49,56.5,0.28,-99.5,-0.48,81,0.16
37,Exit long,2024-01-15 02:30,WL-X,2057.3,1,20593,-23,-0.11,15.5,0.08,-21.5,-0.10,58,0.12
37,Entry long,2024-01-15 01:25,W-Long,2059.3,1,20593,-23,-0.11,15.5,0.08,-21.5,-0.10,58,0.12
38,Exit long,2024-01-15 18:30,WL-X,2057.4,1,20593,-22,-0.11,12.5,0.06,-20.5,-0.10,36,0.07
38,Entry long,2024-01-15 12:25,W-Long,2059.3,1,20593,-22,-0.11,12.5,0.06,-20.5,-0.10,36,0.07
39,Exit long,2024-01-16 22:20,WL-X,2029.7,1,20323,-29,-0.14,35.5,0.17,-27.5,-0.14,7,0.01
39,Entry long,2024-01-16 20:30,W-Long,2032.3,1,20323,-29,-0.14,35.5,0.17,-27.5,-0.14,7,0.01
40,Exit short,2024-01-19 00:30,MS-X,2023.5,1,20224,-14,-0.07,0,0.00,-12.5,-0.06,-7,-0.01
40,Entry short,2024-01-19 00:30,M-Short,2022.4,1,20224,-14,-0.07,0,0.00,-12.5,-0.06,-7,-0.01
41,Exit short,2024-01-23 14:15,MS-X,2028.3,1,20240,-46,-0.23,0.5,0.00,-44.5,-0.22,-53,-0.11
41,Entry short,2024-01-23 12:40,M-Short,2024,1,20240,-46,-0.23,0.5,0.00,-44.5,-0.22,-53,-0.11
42,Exit long,2024-01-29 23:45,WL-X,2049.5,1,20506,-14,-0.07,1.5,0.01,-12.5,-0.06,-67,-0.13
42,Entry long,2024-01-29 23:30,W-Long,2050.6,1,20506,-14,-0.07,1.5,0.01,-12.5,-0.06,-67,-0.13
43,Exit long,2024-02-07 09:40,WL-X,2057.1,1,20419,149,0.73,150.5,0.74,-32.5,-0.16,82,0.16
43,Entry long,2024-02-05 12:45,W-Long,2041.9,1,20419,149,0.73,150.5,0.74,-32.5,-0.16,82,0.16
44,Exit long,2024-02-11 20:15,WL-X,2038.2,1,20408,-29,-0.14,0,0.00,-27.5,-0.13,53,0.11
44,Entry long,2024-02-11 18:05,W-Long,2040.8,1,20408,-29,-0.14,0,0.00,-27.5,-0.13,53,0.11
45,Exit long,2024-02-12 04:05,WL-X,2036.7,1,20382,-18,-0.09,29.5,0.14,-16.5,-0.08,35,0.07
45,Entry long,2024-02-12 01:35,W-Long,2038.2,1,20382,-18,-0.09,29.5,0.14,-16.5,-0.08,35,0.07
46,Exit long,2024-02-13 01:45,WL-X,2036.8,1,20333,32,0.16,33.5,0.16,-5.5,-0.03,67,0.13
46,Entry long,2024-02-13 00:10,W-Long,2033.3,1,20333,32,0.16,33.5,0.16,-5.5,-0.03,67,0.13
47,Exit short,2024-02-14 11:35,MS-X,2006.6,1,20038,-31,-0.15,69.5,0.35,-29.5,-0.15,36,0.07
47,Entry short,2024-02-13 18:55,M-Short,2003.8,1,20038,-31,-0.15,69.5,0.35,-29.5,-0.15,36,0.07
48,Exit short,2024-02-19 12:30,MS-X,2029.3,1,20252,-44,-0.22,2.5,0.01,-42.5,-0.21,-8,-0.02
48,Entry short,2024-02-19 11:05,M-Short,2025.2,1,20252,-44,-0.22,2.5,0.01,-42.5,-0.21,-8,-0.02
49,Exit short,2024-02-19 19:35,MS-X,2028,1,20266,-17,-0.08,2.5,0.01,-15.5,-0.08,-25,-0.05
49,Entry short,2024-02-19 19:15,M-Short,2026.6,1,20266,-17,-0.08,2.5,0.01,-15.5,-0.08,-25,-0.05
50,Exit long,2024-02-21 11:00,WL-X,2034.3,1,20373,-33,-0.16,58.5,0.29,-31.5,-0.15,-58,-0.12
