Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit short,2023-09-12 21:15,MS-X,1935.3,1,19348,-8,-0.04,2.5,0.01,-6.5,-0.03,-8,-0.02
1,Entry short,2023-09-12 21:00,M-Short,1934.8,1,19348,-8,-0.04,2.5,0.01,-6.5,-0.03,-8,-0.02
2,Exit long,2023-09-18 20:25,WL-X,1954.9,1,19554,-8,-0.04,5.5,0.03,-6.5,-0.03,-16,-0.03
2,Entry long,2023-09-18 19:15,W-Long,1955.4,1,19554,-8,-0.04,5.5,0.03,-6.5,-0.03,-16,-0.03
3,Exit short,2023-09-24 19:30,MS-X,1945,1,19443,-10,-0.05,0,0.00,-8.5,-0.04,-26,-0.05
3,Entry short,2023-09-24 19:05,M-Short,1944.3,1,19443,-10,-0.05,0,0.00,-8.5,-0.04,-26,-0.05
4,Exit short,2023-09-24 20:05,MS-X,1944.4,1,19439,-8,-0.04,0.5,0.00,-6.5,-0.03,-34,-0.07
4,Entry short,2023-09-24 20:05,M-Short,1943.9,1,19439,-8,-0.04,0.5,0.00,-6.5,-0.03,-34,-0.07
5,Exit short,2023-09-24 20:55,MS-X,1944.7,1,19439,-11,-0.06,3.5,0.02,-9.5,-0.05,-45,-0.09
5,Entry short,2023-09-24 20:15,M-Short,1943.9,1,19439,-11,-0.06,3.5,0.02,-9.5,-0.05,-45,-0.09
6,Exit short,2023-09-25 02:00,MS-X,1940.6,1,19420,11,0.06,12.5,0.06,-5.5,-0.03,-34,-0.07
6,Entry short,2023-09-25 01:30,M-Short,1942,1,19420,11,0.06,12.5,0.06,-5.5,-0.03,-34,-0.07
7,Exit short,2023-09-25 20:30,MS-X,1933.7,1,19349,9,0.05,10.5,0.05,-3.5,-0.02,-25,-0.05
7,Entry short,2023-09-25 20:00,M-Short,1934.9,1,19349,9,0.05,10.5,0.05,-3.5,-0.02,-25,-0.05
8,Exit short,2023-09-25 22:40,MS-X,1933,1,19323,-10,-0.05,5.5,0.03,-8.5,-0.04,-35,-0.07
8,Entry short,2023-09-25 22:35,M-Short,1932.3,1,19323,-10,-0.05,5.5,0.03,-8.5,-0.04,-35,-0.07
9,Exit short,2023-10-01 18:40,MS-X,1862,1,18741,118,0.63,119.5,0.64,-5.5,-0.03,83,0.17
9,Entry short,2023-09-29 11:05,M-Short,1874.1,1,18741,118,0.63,119.5,0.64,-5.5,-0.03,83,0.17
10,Exit short,2023-10-01 19:50,MS-X,1863.7,1,18623,-17,-0.09,8.5,0.05,-15.5,-0.08,66,0.13
10,Entry short,2023-10-01 18:45,M-Short,1862.3,1,18623,-17,-0.09,8.5,0.05,-15.5,-0.08,66,0.13
11,Exit short,2023-10-02 01:40,MS-X,1856.3,1,18600,34,0.18,35.5,0.19,-10.5,-0.06,100,0.20
11,Entry short,2023-10-01 21:50,M-Short,1860,1,18600,34,0.18,35.5,0.19,-10.5,-0.06,100,0.20
12,Exit short,2023-10-02 19:10,MS-X,1839.5,1,18425,27,0.15,28.5,0.15,-1.5,-0.01,127,0.25
12,Entry short,2023-10-02 19:10,M-Short,1842.5,1,18425,27,0.15,28.5,0.15,-1.5,-0.01,127,0.25
13,Exit short,2023-10-02 22:30,MS-X,1831.8,1,18365,44,0.24,45.5,0.25,-1.5,-0.01,171,0.34
13,Entry short,2023-10-02 22:10,M-Short,1836.5,1,18365,44,0.24,45.5,0.25,-1.5,-0.01,171,0.34
14,Exit short,2023-10-03 19:10,MS-X,1839.1,1,18381,-13,-0.07,0,0.00,-11.5,-0.06,158,0.32
14,Entry short,2023-10-03 18:55,M-Short,1838.1,1,18381,-13,-0.07,0,0.00,-11.5,-0.06,158,0.32
15,Exit short,2023-10-03 21:50,MS-X,1838.3,1,18368,-18,-0.10,0,0.00,-16.5,-0.09,140,0.28
15,Entry short,2023-10-03 21:40,M-Short,1836.8,1,18368,-18,-0.10,0,0.00,-16.5,-0.09,140,0.28
16,Exit short,2023-10-03 23:00,MS-X,1837.5,1,18364,-14,-0.08,0.5,0.00,-12.5,-0.07,126,0.25
16,Entry short,2023-10-03 23:00,M-Short,1836.4,1,18364,-14,-0.08,0.5,0.00,-12.5,-0.07,126,0.25
17,Exit short,2023-10-10 02:10,MS-X,1872,1,18753,30,0.16,31.5,0.17,-5.5,-0.03,156,0.31
17,Entry short,2023-10-10 00:05,M-Short,1875.3,1,18753,30,0.16,31.5,0.17,-5.5,-0.03,156,0.31
18,Exit long,2023-10-17 19:05,WL-X,1936.9,1,19377,-11,-0.06,4.5,0.02,-9.5,-0.05,145,0.29
18,Entry long,2023-10-17 18:45,W-Long,1937.7,1,19377,-11,-0.06,4.5,0.02,-9.5,-0.05,145,0.29
19,Exit long,2023-10-17 20:40,WL-X,1940.8,1,19381,24,0.12,25.5,0.13,-4.5,-0.02,169,0.34
19,Entry long,2023-10-17 20:10,W-Long,1938.1,1,19381,24,0.12,25.5,0.13,-4.5,-0.02,169,0.34
20,Exit long,2023-10-20 12:05,WL-X,2001,1,20049,-42,-0.21,28.5,0.14,-40.5,-0.20,127,0.25
20,Entry long,2023-10-20 11:35,W-Long,2004.9,1,20049,-42,-0.21,28.5,0.14,-40.5,-0.20,127,0.25
21,Exit long,2023-10-23 04:00,WL-X,1991.8,1,19855,60,0.30,61.5,0.31,-15.5,-0.08,187,0.37
21,Entry long,2023-10-22 23:55,W-Long,1985.5,1,19855,60,0.30,61.5,0.31,-15.5,-0.08,187,0.37
22,Exit long,2023-10-23 22:55,WL-X,1989,1,19908,-21,-0.11,10.5,0.05,-19.5,-0.10,166,0.33
22,Entry long,2023-10-23 22:20,W-Long,1990.8,1,19908,-21,-0.11,10.5,0.05,-19.5,-0.10,166,0.33
23,Exit long,2023-10-24 22:45,WL-X,1985.3,1,19870,-20,-0.10,7.5,0.04,-18.5,-0.09,146,0.29
23,Entry long,2023-10-24 21:55,W-Long,1987,1,19870,-20,-0.10,7.5,0.04,-18.5,-0.09,146,0.29
24,Exit long,2023-10-27 13:30,WL-X,2000.5,1,19942,60,0.30,61.5,0.31,-7.5,-0.04,206,0.41
24,Entry long,2023-10-27 13:10,W-Long,1994.2,1,19942,60,0.30,61.5,0.31,-7.5,-0.04,206,0.41
25,Exit long,2023-10-29 21:15,WL-X,2012.9,1,20149,-23,-0.11,17.5,0.09,-21.5,-0.11,183,0.37
25,Entry long,2023-10-29 20:40,W-Long,2014.9,1,20149,-23,-0.11,17.5,0.09,-21.5,-0.11,183,0.37
26,Exit long,2023-10-29 22:10,WL-X,2013,1,20144,-17,-0.08,1.5,0.01,-15.5,-0.08,166,0.33
26,Entry long,2023-10-29 22:00,W-Long,2014.4,1,20144,-17,-0.08,1.5,0.01,-15.5,-0.08,166,0.33
27,Exit long,2023-12-01 01:35,WL-X,2059.8,1,20608,-13,-0.06,15.5,0.08,-11.5,-0.06,153,0.31
27,Entry long,2023-12-01 00:50,W-Long,2060.8,1,20608,-13,-0.06,15.5,0.08,-11.5,-0.06,153,0.31
28,Exit long,2023-12-01 13:30,WL-X,2094.2,1,20834,105,0.50,106.5,0.51,-3.5,-0.02,258,0.52
28,Entry long,2023-12-01 12:45,W-Long,2083.4,1,20834,105,0.50,106.5,0.51,-3.5,-0.02,258,0.52
29,Exit long,2023-12-04 23:20,WL-X,2054.4,1,20562,-21,-0.10,0,0.00,-19.5,-0.09,237,0.47
29,Entry long,2023-12-04 23:05,W-Long,2056.2,1,20562,-21,-0.10,0,0.00,-19.5,-0.09,237,0.47
30,Exit long,2023-12-05 20:00,WL-X,2038.6,1,20400,-17,-0.08,5.5,0.03,-15.5,-0.08,220,0.44
30,Entry long,2023-12-05 19:55,W-Long,2040,1,20400,-17,-0.08,5.5,0.03,-15.5,-0.08,220,0.44
31,Exit long,2023-12-05 23:30,WL-X,2039.6,1,20410,-17,-0.08,3.5,0.02,-15.5,-0.08,203,0.41
31,Entry long,2023-12-05 22:55,W-Long,2041,1,20410,-17,-0.08,3.5,0.02,-15.5,-0.08,203,0.41
32,Exit long,2023-12-11 19:35,WL-X,2000.9,1,19980,26,0.13,27.5,0.14,-9.5,-0.05,229,0.46
