Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit short,2023-09-12 21:15,MS-X,1935.6,1,19348,-11,-0.06,2.5,0.01,-9.5,-0.05,-11,-0.02
1,Entry short,2023-09-12 21:00,M-Short,1934.8,1,19348,-11,-0.06,2.5,0.01,-9.5,-0.05,-11,-0.02
2,Exit long,2023-09-18 20:30,WL-X,1954.6,1,19554,-11,-0.06,5.5,0.03,-9.5,-0.05,-22,-0.04
2,Entry long,2023-09-18 19:15,W-Long,1955.4,1,19554,-11,-0.06,5.5,0.03,-9.5,-0.05,-22,-0.04
3,Exit short,2023-09-24 19:30,MS-X,1945.4,1,19443,-14,-0.07,0,0.00,-12.5,-0.06,-36,-0.07
3,Entry short,2023-09-24 19:05,M-Short,1944.3,1,19443,-14,-0.07,0,0.00,-12.5,-0.06,-36,-0.07
4,Exit short,2023-09-24 21:00,MS-X,1944.8,1,19439,-12,-0.06,9.5,0.05,-10.5,-0.05,-48,-0.10
4,Entry short,2023-09-24 20:05,M-Short,1943.9,1,19439,-12,-0.06,9.5,0.05,-10.5,-0.05,-48,-0.10
5,Exit short,2023-09-25 02:50,MS-X,1943,1,19420,-13,-0.07,16.5,0.08,-11.5,-0.06,-61,-0.12
5,Entry short,2023-09-25 01:30,M-Short,1942,1,19420,-13,-0.07,16.5,0.08,-11.5,-0.06,-61,-0.12
6,Exit short,2023-09-25 20:55,MS-X,1933,1,19349,16,0.08,17.5,0.09,-3.5,-0.02,-45,-0.09
6,Entry short,2023-09-25 20:00,M-Short,1934.9,1,19349,16,0.08,17.5,0.09,-3.5,-0.02,-45,-0.09
7,Exit short,2023-09-26 01:10,MS-X,1933.5,1,19323,-15,-0.08,5.5,0.03,-13.5,-0.07,-60,-0.12
7,Entry short,2023-09-25 22:35,M-Short,1932.3,1,19323,-15,-0.08,5.5,0.03,-13.5,-0.07,-60,-0.12
8,Exit short,2023-10-02 01:50,MS-X,1855.1,1,18741,187,1.00,188.5,1.01,-5.5,-0.03,127,0.25
8,Entry short,2023-09-29 11:05,M-Short,1874.1,1,18741,187,1.00,188.5,1.01,-5.5,-0.03,127,0.25
9,Exit short,2023-10-02 19:15,MS-X,1837.6,1,18425,46,0.25,47.5,0.26,-1.5,-0.01,173,0.35
9,Entry short,2023-10-02 19:10,M-Short,1842.5,1,18425,46,0.25,47.5,0.26,-1.5,-0.01,173,0.35
10,Exit short,2023-10-03 02:35,MS-X,1839.2,1,18365,-30,-0.16,53.5,0.29,-28.5,-0.16,143,0.29
10,Entry short,2023-10-02 22:10,M-Short,1836.5,1,18365,-30,-0.16,53.5,0.29,-28.5,-0.16,143,0.29
11,Exit short,2023-10-03 19:15,MS-X,1839.6,1,18381,-18,-0.10,0,0.00,-16.5,-0.09,125,0.25
11,Entry short,2023-10-03 18:55,M-Short,1838.1,1,18381,-18,-0.10,0,0.00,-16.5,-0.09,125,0.25
12,Exit short,2023-10-04 05:05,MS-X,1839.2,1,18368,-27,-0.15,49.5,0.27,-25.5,-0.14,98,0.20
12,Entry short,2023-10-03 21:40,M-Short,1836.8,1,18368,-27,-0.15,49.5,0.27,-25.5,-0.14,98,0.20
13,Exit short,2023-10-10 02:40,MS-X,1869.8,1,18753,52,0.28,53.5,0.29,-5.5,-0.03,150,0.30
13,Entry short,2023-10-10 00:05,M-Short,1875.3,1,18753,52,0.28,53.5,0.29,-5.5,-0.03,150,0.30
14,Exit long,2023-10-17 20:00,WL-X,1936.4,1,19377,-16,-0.08,4.5,0.02,-14.5,-0.07,134,0.27
14,Entry long,2023-10-17 18:45,W-Long,1937.7,1,19377,-16,-0.08,4.5,0.02,-14.5,-0.07,134,0.27
15,Exit long,2023-10-17 21:20,WL-X,1942.5,1,19381,41,0.21,42.5,0.22,-4.5,-0.02,175,0.35
15,Entry long,2023-10-17 20:10,W-Long,1938.1,1,19381,41,0.21,42.5,0.22,-4.5,-0.02,175,0.35
16,Exit long,2023-10-20 12:45,WL-X,1998.5,1,20049,-67,-0.33,28.5,0.14,-65.5,-0.33,108,0.22
16,Entry long,2023-10-20 11:35,W-Long,2004.9,1,20049,-67,-0.33,28.5,0.14,-65.5,-0.33,108,0.22
17,Exit long,2023-10-23 09:40,WL-X,1982.2,1,19855,-36,-0.18,86.5,0.44,-34.5,-0.17,72,0.14
