Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-09-03 21:45,WL-X,1968.9,1,19665,21,0.11,22.5,0.11,-5.5,-0.03,21,0.04
1,Entry long,2023-09-03 19:50,W-Long,1966.5,1,19665,21,0.11,22.5,0.11,-5.5,-0.03,21,0.04
2,Exit long,2023-09-04 01:45,WL-X,1970.9,1,19721,-15,-0.08,0,0.00,-13.5,-0.07,6,0.01
2,Entry long,2023-09-04 01:35,W-Long,1972.1,1,19721,-15,-0.08,0,0.00,-13.5,-0.07,6,0.01
3,Exit long,2023-09-06 03:20,WL-X,1949.8,1,19511,-16,-0.08,24.5,0.13,-14.5,-0.07,-10,-0.02
3,Entry long,2023-09-05 22:35,W-Long,1951.1,1,19511,-16,-0.08,24.5,0.13,-14.5,-0.07,-10,-0.02
4,Exit short,2023-09-12 07:30,MS-X,1933.7,1,19453,113,0.58,114.5,0.59,-33.5,-0.17,103,0.21
4,Entry short,2023-09-11 10:35,M-Short,1945.3,1,19453,113,0.58,114.5,0.59,-33.5,-0.17,103,0.21
5,Exit short,2023-09-12 21:15,MS-X,1935.6,1,19348,-11,-0.06,2.5,0.01,-9.5,-0.05,92,0.18
5,Entry short,2023-09-12 21:00,M-Short,1934.8,1,19348,-11,-0.06,2.5,0.01,-9.5,-0.05,92,0.18
6,Exit long,2023-09-18 20:30,WL-X,1954.6,1,19554,-11,-0.06,5.5,0.03,-9.5,-0.05,81,0.16
6,Entry long,2023-09-18 19:15,W-Long,1955.4,1,19554,-11,-0.06,5.5,0.03,-9.5,-0.05,81,0.16
7,Exit short,2023-09-24 19:30,MS-X,1945.4,1,19443,-14,-0.07,0,0.00,-12.5,-0.06,67,0.13
7,Entry short,2023-09-24 19:05,M-Short,1944.3,1,19443,-14,-0.07,0,0.00,-12.5,-0.06,67,0.13
8,Exit short,2023-09-24 21:00,MS-X,1944.8,1,19439,-12,-0.06,9.5,0.05,-10.5,-0.05,55,0.11
8,Entry short,2023-09-24 20:05,M-Short,1943.9,1,19439,-12,-0.06,9.5,0.05,-10.5,-0.05,55,0.11
9,Exit short,2023-09-25 02:50,MS-X,1943,1,19420,-13,-0.07,16.5,0.08,-11.5,-0.06,42,0.08
9,Entry short,2023-09-25 01:30,M-Short,1942,1,19420,-13,-0.07,16.5,0.08,-11.5,-0.06,42,0.08
10,Exit short,2023-09-26 08:35,MS-X,1925.5,1,19376,118,0.61,119.5,0.62,-11.5,-0.06,160,0.32
10,Entry short,2023-09-25 10:20,M-Short,1937.6,1,19376,118,0.61,119.5,0.62,-11.5,-0.06,160,0.32
11,Exit short,2023-09-26 10:00,MS-X,1927.3,1,19233,-43,-0.22,2.5,0.01,-41.5,-0.22,117,0.23
11,Entry short,2023-09-26 09:35,M-Short,1923.3,1,19233,-43,-0.22,2.5,0.01,-41.5,-0.22,117,0.23
12,Exit short,2023-09-27 08:00,MS-X,1910.1,1,19205,101,0.53,102.5,0.53,-16.5,-0.09,218,0.44
12,Entry short,2023-09-26 12:15,M-Short,1920.5,1,19205,101,0.53,102.5,0.53,-16.5,-0.09,218,0.44
13,Exit short,2023-10-02 01:50,MS-X,1855.1,1,18741,187,1.00,188.5,1.01,-5.5,-0.03,405,0.81
13,Entry short,2023-09-29 11:05,M-Short,1874.1,1,18741,187,1.00,188.5,1.01,-5.5,-0.03,405,0.81
14,Exit short,2023-10-02 10:00,MS-X,1853.8,1,18494,-47,-0.25,19.5,0.11,-45.5,-0.25,358,0.72
14,Entry short,2023-10-02 09:40,M-Short,1849.4,1,18494,-47,-0.25,19.5,0.11,-45.5,-0.25,358,0.72
15,Exit short,2023-10-02 11:20,MS-X,1849.8,1,18437,-64,-0.35,2.5,0.01,-62.5,-0.34,294,0.59
15,Entry short,2023-10-02 10:45,M-Short,1843.7,1,18437,-64,-0.35,2.5,0.01,-62.5,-0.34,294,0.59
16,Exit short,2023-10-02 19:15,MS-X,1838.1,1,18428,44,0.24,45.5,0.25,-1.5,-0.01,338,0.68
16,Entry short,2023-10-02 19:05,M-Short,1842.8,1,18428,44,0.24,45.5,0.25,-1.5,-0.01,338,0.68
17,Exit short,2023-10-02 19:45,MS-X,1842.6,1,18397,-32,-0.17,5.5,0.03,-30.5,-0.17,306,0.61
17,Entry short,2023-10-02 19:35,M-Short,1839.7,1,18397,-32,-0.17,5.5,0.03,-30.5,-0.17,306,0.61
18,Exit short,2023-10-02 22:20,MS-X,1833.6,1,18381,42,0.23,43.5,0.24,-1.5,-0.01,348,0.70
18,Entry short,2023-10-02 22:05,M-Short,1838.1,1,18381,42,0.23,43.5,0.24,-1.5,-0.01,348,0.70
19,Exit short,2023-10-03 19:15,MS-X,1839.6,1,18381,-18,-0.10,0,0.00,-16.5,-0.09,330,0.66
19,Entry short,2023-10-03 18:55,M-Short,1838.1,1,18381,-18,-0.10,0,0.00,-16.5,-0.09,330,0.66
20,Exit short,2023-10-04 05:05,MS-X,1839.2,1,18368,-27,-0.15,49.5,0.27,-25.5,-0.14,303,0.61
20,Entry short,2023-10-03 21:40,M-Short,1836.8,1,18368,-27,-0.15,49.5,0.27,-25.5,-0.14,303,0.61
21,Exit short,2023-10-09 01:40,MS-X,1864.3,1,18619,-27,-0.15,0,0.00,-25.5,-0.14,276,0.55
21,Entry short,2023-10-09 01:35,M-Short,1861.9,1,18619,-27,-0.15,0,0.00,-25.5,-0.14,276,0.55
22,Exit short,2023-10-10 02:40,MS-X,1869.8,1,18753,52,0.28,53.5,0.29,-5.5,-0.03,328,0.66
22,Entry short,2023-10-10 00:05,M-Short,1875.3,1,18753,52,0.28,53.5,0.29,-5.5,-0.03,328,0.66
23,Exit short,2023-10-10 20:05,MS-X,1874.2,1,18732,-13,-0.07,0.5,0.00,-11.5,-0.06,315,0.63
23,Entry short,2023-10-10 20:00,M-Short,1873.2,1,18732,-13,-0.07,0.5,0.00,-11.5,-0.06,315,0.63
24,Exit short,2023-10-11 02:35,MS-X,1874.5,1,18732,-16,-0.09,13.5,0.07,-14.5,-0.08,299,0.60
24,Entry short,2023-10-10 23:55,M-Short,1873.2,1,18732,-16,-0.09,13.5,0.07,-14.5,-0.08,299,0.60
25,Exit long,2023-10-16 20:35,WL-X,1928.3,1,19334,-54,-0.28,22.5,0.12,-52.5,-0.27,245,0.49
25,Entry long,2023-10-16 11:10,W-Long,1933.4,1,19334,-54,-0.28,22.5,0.12,-52.5,-0.27,245,0.49
26,Exit long,2023-10-17 20:00,WL-X,1936.4,1,19377,-16,-0.08,4.5,0.02,-14.5,-0.07,229,0.46
26,Entry long,2023-10-17 18:45,W-Long,1937.7,1,19377,-16,-0.08,4.5,0.02,-14.5,-0.07,229,0.46
27,Exit long,2023-10-17 21:20,WL-X,1942.5,1,19381,41,0.21,42.5,0.22,-4.5,-0.02,270,0.54
27,Entry long,2023-10-17 20:10,W-Long,1938.1,1,19381,41,0.21,42.5,0.22,-4.5,-0.02,270,0.54
28,Exit long,2023-10-20 13:15,WL-X,1989.6,1,19950,-57,-0.29,140.5,0.70,-55.5,-0.28,213,0.43
28,Entry long,2023-10-20 09:50,W-Long,1995,1,19950,-57,-0.29,140.5,0.70,-55.5,-0.28,213,0.43
29,Exit long,2023-10-24 05:15,WL-X,1980.3,1,19845,-45,-0.23,96.5,0.49,-43.5,-0.22,168,0.34
29,Entry long,2023-10-22 22:40,W-Long,1984.5,1,19845,-45,-0.23,96.5,0.49,-43.5,-0.22,168,0.34
30,Exit long,2023-10-24 20:30,WL-X,1985.5,1,19824,28,0.14,29.5,0.15,-3.5,-0.02,196,0.39
30,Entry long,2023-10-24 19:35,W-Long,1982.4,1,19824,28,0.14,29.5,0.15,-3.5,-0.02,196,0.39
31,Exit long,2023-10-24 22:50,WL-X,1984.2,1,19870,-31,-0.16,7.5,0.04,-29.5,-0.15,165,0.33
31,Entry long,2023-10-24 21:55,W-Long,1987,1,19870,-31,-0.16,7.5,0.04,-29.5,-0.15,165,0.33
32,Exit long,2023-10-27 13:35,WL-X,2004.1,1,19937,101,0.51,102.5,0.51,-9.5,-0.05,266,0.53
32,Entry long,2023-10-27 13:00,W-Long,1993.7,1,19937,101,0.51,102.5,0.51,-9.5,-0.05,266,0.53
33,Exit long,2023-10-29 22:20,WL-X,2011.7,1,20149,-35,-0.17,17.5,0.09,-33.5,-0.17,231,0.46
33,Entry long,2023-10-29 20:40,W-Long,2014.9,1,20149,-35,-0.17,17.5,0.09,-33.5,-0.17,231,0.46
34,Exit long,2023-10-30 21:40,WL-X,2004,1,20056,-19,-0.09,7.5,0.04,-17.5,-0.09,212,0.42
34,Entry long,2023-10-30 21:15,W-Long,2005.6,1,20056,-19,-0.09,7.5,0.04,-17.5,-0.09,212,0.42
35,Exit long,2023-12-01 02:50,WL-X,2058.9,1,20604,-18,-0.09,19.5,0.09,-16.5,-0.08,194,0.39
35,Entry long,2023-12-01 00:35,W-Long,2060.4,1,20604,-18,-0.09,19.5,0.09,-16.5,-0.08,194,0.39
36,Exit long,2023-12-01 11:10,WL-X,2074.9,1,20617,129,0.63,130.5,0.63,-16.5,-0.08,323,0.65
36,Entry long,2023-12-01 09:50,W-Long,2061.7,1,20617,129,0.63,130.5,0.63,-16.5,-0.08,323,0.65
37,Exit long,2023-12-03 18:15,WL-X,2101.4,1,20834,177,0.85,178.5,0.86,-3.5,-0.02,500,1.00
37,Entry long,2023-12-01 12:45,W-Long,2083.4,1,20834,177,0.85,178.5,0.86,-3.5,-0.02,500,1.00
38,Exit long,2023-12-04 23:30,WL-X,2053.3,1,20562,-32,-0.16,0,0.00,-30.5,-0.15,468,0.94
38,Entry long,2023-12-04 23:05,W-Long,2056.2,1,20562,-32,-0.16,0,0.00,-30.5,-0.15,468,0.94
39,Exit long,2023-12-05 20:25,WL-X,2037.7,1,20400,-26,-0.13,5.5,0.03,-24.5,-0.12,442,0.88
39,Entry long,2023-12-05 19:55,W-Long,2040,1,20400,-26,-0.13,5.5,0.03,-24.5,-0.12,442,0.88
40,Exit long,2023-12-05 23:40,WL-X,2038.7,1,20410,-26,-0.13,3.5,0.02,-24.5,-0.12,416,0.83
40,Entry long,2023-12-05 22:55,W-Long,2041,1,20410,-26,-0.13,3.5,0.02,-24.5,-0.12,416,0.83
41,Exit long,2023-12-11 19:35,WL-X,2002,1,19980,37,0.19,38.5,0.19,-9.5,-0.05,453,0.91
41,Entry long,2023-12-11 18:05,W-Long,1998,1,19980,37,0.19,38.5,0.19,-9.5,-0.05,453,0.91
42,Exit long,2023-12-11 20:45,WL-X,1998.5,1,20012,-30,-0.15,1.5,0.01,-28.5,-0.14,423,0.85
42,Entry long,2023-12-11 19:40,W-Long,2001.2,1,20012,-30,-0.15,1.5,0.01,-28.5,-0.14,423,0.85
43,Exit long,2023-12-12 03:10,WL-X,2000.5,1,20026,-24,-0.12,14.5,0.07,-22.5,-0.11,399,0.80
43,Entry long,2023-12-12 00:45,W-Long,2002.6,1,20026,-24,-0.12,14.5,0.07,-22.5,-0.11,399,0.80
44,Exit long,2023-12-12 19:20,WL-X,1995.3,1,19969,-19,-0.10,8.5,0.04,-17.5,-0.09,380,0.76
44,Entry long,2023-12-12 18:35,W-Long,1996.9,1,19969,-19,-0.10,8.5,0.04,-17.5,-0.09,380,0.76
45,Exit long,2023-12-18 12:45,WL-X,2041.7,1,20323,91,0.45,92.5,0.46,-3.5,-0.02,471,0.94
45,Entry long,2023-12-17 19:25,W-Long,2032.3,1,20323,91,0.45,92.5,0.46,-3.5,-0.02,471,0.94
46,Exit long,2023-12-18 13:25,WL-X,2040.1,1,20448,-50,-0.24,0,0.00,-48.5,-0.24,421,0.84
46,Entry long,2023-12-18 13:05,W-Long,2044.8,1,20448,-50,-0.24,0,0.00,-48.5,-0.24,421,0.84
47,Exit long,2023-12-18 18:25,WL-X,2039.8,1,20415,-20,-0.10,0.5,0.00,-18.5,-0.09,401,0.80
47,Entry long,2023-12-18 18:05,W-Long,2041.5,1,20415,-20,-0.10,0.5,0.00,-18.5,-0.09,401,0.80
48,Exit long,2023-12-18 19:50,WL-X,2041,1,20428,-21,-0.10,2.5,0.01,-19.5,-0.10,380,0.76
48,Entry long,2023-12-18 19:35,W-Long,2042.8,1,20428,-21,-0.10,2.5,0.01,-19.5,-0.10,380,0.76
49,Exit long,2023-12-19 09:45,WL-X,2055.9,1,20459,97,0.47,98.5,0.48,-3.5,-0.02,477,0.95
49,Entry long,2023-12-19 09:35,W-Long,2045.9,1,20459,97,0.47,98.5,0.48,-3.5,-0.02,477,0.95
50,Exit long,2023-12-20 05:15,WL-X,2051.1,1,20530,-22,-0.11,37.5,0.18,-20.5,-0.10,455,0.91
50,Entry long,2023-12-19 22:00,W-Long,2053,1,20530,-22,-0.11,37.5,0.18,-20.5,-0.10,455,0.91
51,Exit long,2023-12-25 20:50,WL-X,2073.8,1,20673,62,0.30,63.5,0.31,-23.5,-0.11,517,1.03
51,Entry long,2023-12-25 18:05,W-Long,2067.3,1,20673,62,0.30,63.5,0.31,-23.5,-0.11,517,1.03
52,Exit long,2023-12-26 00:30,WL-X,2074.4,1,20754,-13,-0.06,0,0.00,-11.5,-0.06,504,1.01
52,Entry long,2023-12-25 23:40,W-Long,2075.4,1,20754,-13,-0.06,0,0.00,-11.5,-0.06,504,1.01
53,Exit long,2023-12-26 21:15,WL-X,2076.3,1,20786,-26,-0.13,4.5,0.02,-24.5,-0.12,478,0.96
53,Entry long,2023-12-26 20:35,W-Long,2078.6,1,20786,-26,-0.13,4.5,0.02,-24.5,-0.12,478,0.96
54,Exit long,2023-12-27 00:35,WL-X,2075.6,1,20770,-17,-0.08,2.5,0.01,-15.5,-0.07,461,0.92
54,Entry long,2023-12-27 00:00,W-Long,2077,1,20770,-17,-0.08,2.5,0.01,-15.5,-0.07,461,0.92
55,Exit long,2023-12-29 03:45,WL-X,2079.7,1,20814,-20,-0.10,25.5,0.12,-18.5,-0.09,441,0.88
55,Entry long,2023-12-29 01:00,W-Long,2081.4,1,20814,-20,-0.10,25.5,0.12,-18.5,-0.09,441,0.88
56,Exit long,2023-12-29 13:00,WL-X,2070.7,1,20757,-53,-0.26,17.5,0.08,-51.5,-0.25,388,0.78
56,Entry long,2023-12-29 11:20,W-Long,2075.7,1,20757,-53,-0.26,17.5,0.08,-51.5,-0.25,388,0.78
57,Exit long,2024-01-02 04:35,WL-X,2086.8,1,20778,87,0.42,88.5,0.43,-5.5,-0.03,475,0.95
