Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-09-03 21:45,WL-X,1969.7,1,19665,29,0.15,30.5,0.16,-5.5,-0.03,29,0.06
1,Entry long,2023-09-03 19:50,W-Long,1966.5,1,19665,29,0.15,30.5,0.16,-5.5,-0.03,29,0.06
2,Exit long,2023-09-04 01:45,WL-X,1970.9,1,19721,-15,-0.08,0,0.00,-13.5,-0.07,14,0.03
2,Entry long,2023-09-04 01:35,W-Long,1972.1,1,19721,-15,-0.08,0,0.00,-13.5,-0.07,14,0.03
3,Exit long,2023-09-06 03:20,WL-X,1949.8,1,19511,-16,-0.08,24.5,0.13,-14.5,-0.07,-2,0.00
3,Entry long,2023-09-05 22:35,W-Long,1951.1,1,19511,-16,-0.08,24.5,0.13,-14.5,-0.07,-2,0.00
4,Exit short,2023-09-12 09:00,MS-X,1929.8,1,19453,152,0.78,153.5,0.79,-33.5,-0.17,150,0.30
4,Entry short,2023-09-11 10:35,M-Short,1945.3,1,19453,152,0.78,153.5,0.79,-33.5,-0.17,150,0.30
5,Exit short,2023-09-12 21:15,MS-X,1935.6,1,19348,-11,-0.06,2.5,0.01,-9.5,-0.05,139,0.28
5,Entry short,2023-09-12 21:00,M-Short,1934.8,1,19348,-11,-0.06,2.5,0.01,-9.5,-0.05,139,0.28
6,Exit long,2023-09-18 20:30,WL-X,1954.6,1,19554,-11,-0.06,5.5,0.03,-9.5,-0.05,128,0.26
6,Entry long,2023-09-18 19:15,W-Long,1955.4,1,19554,-11,-0.06,5.5,0.03,-9.5,-0.05,128,0.26
7,Exit short,2023-09-24 19:30,MS-X,1945.4,1,19443,-14,-0.07,0,0.00,-12.5,-0.06,114,0.23
7,Entry short,2023-09-24 19:05,M-Short,1944.3,1,19443,-14,-0.07,0,0.00,-12.5,-0.06,114,0.23
8,Exit short,2023-09-24 21:00,MS-X,1944.8,1,19439,-12,-0.06,9.5,0.05,-10.5,-0.05,102,0.20
8,Entry short,2023-09-24 20:05,M-Short,1943.9,1,19439,-12,-0.06,9.5,0.05,-10.5,-0.05,102,0.20
9,Exit short,2023-09-25 02:50,MS-X,1943,1,19420,-13,-0.07,16.5,0.08,-11.5,-0.06,89,0.18
9,Entry short,2023-09-25 01:30,M-Short,1942,1,19420,-13,-0.07,16.5,0.08,-11.5,-0.06,89,0.18
10,Exit short,2023-09-26 11:05,MS-X,1921.5,1,19376,158,0.82,159.5,0.82,-11.5,-0.06,247,0.49
10,Entry short,2023-09-25 10:20,M-Short,1937.6,1,19376,158,0.82,159.5,0.82,-11.5,-0.06,247,0.49
11,Exit short,2023-09-27 08:30,MS-X,1906.8,1,19205,134,0.70,135.5,0.71,-16.5,-0.09,381,0.76
11,Entry short,2023-09-26 12:15,M-Short,1920.5,1,19205,134,0.70,135.5,0.71,-16.5,-0.09,381,0.76
12,Exit short,2023-10-02 05:30,MS-X,1848.8,1,18741,250,1.33,251.5,1.34,-5.5,-0.03,631,1.26
12,Entry short,2023-09-29 11:05,M-Short,1874.1,1,18741,250,1.33,251.5,1.34,-5.5,-0.03,631,1.26
13,Exit short,2023-10-02 10:00,MS-X,1853.8,1,18494,-47,-0.25,19.5,0.11,-45.5,-0.25,584,1.17
13,Entry short,2023-10-02 09:40,M-Short,1849.4,1,18494,-47,-0.25,19.5,0.11,-45.5,-0.25,584,1.17
14,Exit short,2023-10-02 11:20,MS-X,1849.8,1,18437,-64,-0.35,2.5,0.01,-62.5,-0.34,520,1.04
14,Entry short,2023-10-02 10:45,M-Short,1843.7,1,18437,-64,-0.35,2.5,0.01,-62.5,-0.34,520,1.04
15,Exit short,2023-10-02 19:20,MS-X,1836.5,1,18428,60,0.33,61.5,0.33,-1.5,-0.01,580,1.16
15,Entry short,2023-10-02 19:05,M-Short,1842.8,1,18428,60,0.33,61.5,0.33,-1.5,-0.01,580,1.16
16,Exit short,2023-10-02 19:45,MS-X,1842.6,1,18397,-32,-0.17,5.5,0.03,-30.5,-0.17,548,1.10
16,Entry short,2023-10-02 19:35,M-Short,1839.7,1,18397,-32,-0.17,5.5,0.03,-30.5,-0.17,548,1.10
17,Exit short,2023-10-02 22:30,MS-X,1832,1,18381,58,0.32,59.5,0.32,-1.5,-0.01,606,1.21
17,Entry short,2023-10-02 22:05,M-Short,1838.1,1,18381,58,0.32,59.5,0.32,-1.5,-0.01,606,1.21
18,Exit short,2023-10-03 19:15,MS-X,1839.6,1,18381,-18,-0.10,0,0.00,-16.5,-0.09,588,1.18
18,Entry short,2023-10-03 18:55,M-Short,1838.1,1,18381,-18,-0.10,0,0.00,-16.5,-0.09,588,1.18
19,Exit short,2023-10-04 05:05,MS-X,1839.2,1,18368,-27,-0.15,49.5,0.27,-25.5,-0.14,561,1.12
19,Entry short,2023-10-03 21:40,M-Short,1836.8,1,18368,-27,-0.15,49.5,0.27,-25.5,-0.14,561,1.12
20,Exit short,2023-10-09 01:40,MS-X,1864.3,1,18619,-27,-0.15,0,0.00,-25.5,-0.14,534,1.07
20,Entry short,2023-10-09 01:35,M-Short,1861.9,1,18619,-27,-0.15,0,0.00,-25.5,-0.14,534,1.07
21,Exit short,2023-10-10 07:20,MS-X,1868,1,18753,70,0.37,71.5,0.38,-5.5,-0.03,604,1.21
21,Entry short,2023-10-10 00:05,M-Short,1875.3,1,18753,70,0.37,71.5,0.38,-5.5,-0.03,604,1.21
