Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-05-04 20:05,WL-X,2056.4,1,20581,-20,-0.10,0,0.00,-18.5,-0.09,-20,-0.04
1,Entry long,2023-05-04 19:55,W-Long,2058.1,1,20581,-20,-0.10,0,0.00,-18.5,-0.09,-20,-0.04
2,Exit long,2023-05-04 22:25,WL-X,2056.2,1,20581,-22,-0.11,30.5,0.15,-20.5,-0.10,-42,-0.08
2,Entry long,2023-05-04 21:15,W-Long,2058.1,1,20581,-22,-0.11,30.5,0.15,-20.5,-0.10,-42,-0.08
3,Exit long,2023-05-05 01:25,WL-X,2055.4,1,20582,-31,-0.15,8.5,0.04,-29.5,-0.14,-73,-0.15
3,Entry long,2023-05-04 23:40,W-Long,2058.2,1,20582,-31,-0.15,8.5,0.04,-29.5,-0.14,-73,-0.15
4,Exit long,2023-05-08 11:40,WL-X,2036.9,1,20269,97,0.48,98.5,0.49,-17.5,-0.09,24,0.05
4,Entry long,2023-05-07 22:30,W-Long,2026.9,1,20269,97,0.48,98.5,0.49,-17.5,-0.09,24,0.05
5,Exit long,2023-05-09 02:40,WL-X,2031.6,1,20331,-18,-0.09,27.5,0.14,-16.5,-0.08,6,0.01
5,Entry long,2023-05-09 00:40,W-Long,2033.1,1,20331,-18,-0.09,27.5,0.14,-16.5,-0.08,6,0.01
6,Exit long,2023-05-10 08:20,WL-X,2032.3,1,20359,-39,-0.19,95.5,0.47,-37.5,-0.18,-33,-0.07
6,Entry long,2023-05-09 12:10,W-Long,2035.9,1,20359,-39,-0.19,95.5,0.47,-37.5,-0.18,-33,-0.07
7,Exit long,2023-05-11 20:40,WL-X,2021.2,1,20224,-15,-0.07,1.5,0.01,-13.5,-0.07,-48,-0.10
7,Entry long,2023-05-11 20:35,W-Long,2022.4,1,20224,-15,-0.07,1.5,0.01,-13.5,-0.07,-48,-0.10
8,Exit long,2023-05-12 10:15,WL-X,2019.7,1,20257,-63,-0.31,9.5,0.05,-61.5,-0.30,-111,-0.22
8,Entry long,2023-05-12 09:50,W-Long,2025.7,1,20257,-63,-0.31,9.5,0.05,-61.5,-0.30,-111,-0.22
9,Exit long,2023-05-15 10:20,WL-X,2020.3,1,20247,-47,-0.23,23.5,0.12,-45.5,-0.22,-158,-0.32
9,Entry long,2023-05-15 09:50,W-Long,2024.7,1,20247,-47,-0.23,23.5,0.12,-45.5,-0.22,-158,-0.32
10,Exit long,2023-05-16 01:35,WL-X,2018.3,1,20224,-44,-0.22,39.5,0.20,-42.5,-0.21,-202,-0.40
10,Entry long,2023-05-15 11:35,W-Long,2022.4,1,20224,-44,-0.22,39.5,0.20,-42.5,-0.21,-202,-0.40
11,Exit short,2023-05-19 11:10,MS-X,1966.2,1,19619,-46,-0.23,25.5,0.13,-44.5,-0.23,-248,-0.50
11,Entry short,2023-05-19 09:35,M-Short,1961.9,1,19619,-46,-0.23,25.5,0.13,-44.5,-0.23,-248,-0.50
12,Exit long,2023-05-22 13:30,WL-X,1976.7,1,19803,-39,-0.20,6.5,0.03,-37.5,-0.19,-287,-0.57
12,Entry long,2023-05-22 13:15,W-Long,1980.3,1,19803,-39,-0.20,6.5,0.03,-37.5,-0.19,-287,-0.57
13,Exit long,2023-05-24 11:50,WL-X,1965.8,1,19733,-78,-0.40,145.5,0.74,-76.5,-0.39,-365,-0.73
13,Entry long,2023-05-23 10:05,W-Long,1973.3,1,19733,-78,-0.40,145.5,0.74,-76.5,-0.39,-365,-0.73
14,Exit short,2023-05-25 02:35,MS-X,1959.1,1,19575,-19,-0.10,22.5,0.11,-17.5,-0.09,-384,-0.77
14,Entry short,2023-05-25 00:05,M-Short,1957.5,1,19575,-19,-0.10,22.5,0.11,-17.5,-0.09,-384,-0.77
15,Exit short,2023-05-25 21:00,MS-X,1942.3,1,19406,-20,-0.10,39.5,0.20,-18.5,-0.10,-404,-0.81
15,Entry short,2023-05-25 19:45,M-Short,1940.6,1,19406,-20,-0.10,39.5,0.20,-18.5,-0.10,-404,-0.81
16,Exit short,2023-05-28 21:10,MS-X,1962.4,1,19600,-27,-0.14,18.5,0.09,-25.5,-0.13,-431,-0.86
16,Entry short,2023-05-28 20:10,M-Short,1960,1,19600,-27,-0.14,18.5,0.09,-25.5,-0.13,-431,-0.86
17,Exit short,2023-05-30 00:00,MS-X,1956.8,1,19633,62,0.32,63.5,0.32,-12.5,-0.06,-369,-0.74
17,Entry short,2023-05-29 12:10,M-Short,1963.3,1,19633,62,0.32,63.5,0.32,-12.5,-0.06,-369,-0.74
18,Exit long,2023-06-02 09:45,WL-X,1983.2,1,19898,-69,-0.35,108.5,0.55,-67.5,-0.34,-438,-0.88
18,Entry long,2023-06-01 09:35,W-Long,1989.8,1,19898,-69,-0.35,108.5,0.55,-67.5,-0.34,-438,-0.88
19,Exit short,2023-06-05 03:40,MS-X,1956.1,1,19643,79,0.40,80.5,0.41,-14.5,-0.07,-359,-0.72
19,Entry short,2023-06-04 19:35,M-Short,1964.3,1,19643,79,0.40,80.5,0.41,-14.5,-0.07,-359,-0.72
20,Exit long,2023-06-05 19:40,WL-X,1977.8,1,19792,-17,-0.09,0,0.00,-15.5,-0.08,-376,-0.75
20,Entry long,2023-06-05 19:35,W-Long,1979.2,1,19792,-17,-0.09,0,0.00,-15.5,-0.08,-376,-0.75
21,Exit long,2023-06-07 02:40,WL-X,1973.5,1,19774,-42,-0.21,53.5,0.27,-40.5,-0.20,-418,-0.84
21,Entry long,2023-06-06 11:40,W-Long,1977.4,1,19774,-42,-0.21,53.5,0.27,-40.5,-0.20,-418,-0.84
22,Exit long,2023-06-09 03:15,WL-X,1978.3,1,19800,-20,-0.10,8.5,0.04,-18.5,-0.09,-438,-0.88
22,Entry long,2023-06-09 01:50,W-Long,1980,1,19800,-20,-0.10,8.5,0.04,-18.5,-0.09,-438,-0.88
23,Exit long,2023-06-12 01:00,WL-X,1970.6,1,19725,-22,-0.11,4.5,0.02,-20.5,-0.10,-460,-0.92
23,Entry long,2023-06-11 23:55,W-Long,1972.5,1,19725,-22,-0.11,4.5,0.02,-20.5,-0.10,-460,-0.92
24,Exit long,2023-06-12 01:55,WL-X,1972.5,1,19744,-22,-0.11,0.5,0.00,-20.5,-0.10,-482,-0.96
24,Entry long,2023-06-12 01:45,W-Long,1974.4,1,19744,-22,-0.11,0.5,0.00,-20.5,-0.10,-482,-0.96
25,Exit short,2023-06-12 22:45,MS-X,1972.9,1,19707,-25,-0.13,5.5,0.03,-23.5,-0.12,-507,-1.01
25,Entry short,2023-06-12 21:55,M-Short,1970.7,1,19707,-25,-0.13,5.5,0.03,-23.5,-0.12,-507,-1.01
26,Exit short,2023-06-13 02:20,MS-X,1974.3,1,19725,-21,-0.11,1.5,0.01,-19.5,-0.10,-528,-1.06
26,Entry short,2023-06-13 01:50,M-Short,1972.5,1,19725,-21,-0.11,1.5,0.01,-19.5,-0.10,-528,-1.06
27,Exit short,2023-06-16 07:00,MS-X,1978.1,1,19687,-97,-0.49,324.5,1.65,-95.5,-0.49,-625,-1.25
27,Entry short,2023-06-13 09:45,M-Short,1968.7,1,19687,-97,-0.49,324.5,1.65,-95.5,-0.49,-625,-1.25
28,Exit short,2023-06-19 00:55,MS-X,1969.1,1,19671,-23,-0.12,9.5,0.05,-21.5,-0.11,-648,-1.30
28,Entry short,2023-06-18 22:20,M-Short,1967.1,1,19671,-23,-0.12,9.5,0.05,-21.5,-0.11,-648,-1.30
29,Exit short,2023-06-20 03:30,MS-X,1965.8,1,19640,-21,-0.11,74.5,0.38,-19.5,-0.10,-669,-1.34
29,Entry short,2023-06-19 11:40,M-Short,1964,1,19640,-21,-0.11,74.5,0.38,-19.5,-0.10,-669,-1.34
30,Exit short,2023-06-20 21:35,MS-X,1949.4,1,19475,-22,-0.11,0.5,0.00,-20.5,-0.11,-691,-1.38
30,Entry short,2023-06-20 21:05,M-Short,1947.5,1,19475,-22,-0.11,0.5,0.00,-20.5,-0.11,-691,-1.38
31,Exit short,2023-06-22 04:30,MS-X,1937.1,1,19420,46,0.24,47.5,0.24,-9.5,-0.05,-645,-1.29
31,Entry short,2023-06-22 00:15,M-Short,1942,1,19420,46,0.24,47.5,0.24,-9.5,-0.05,-645,-1.29
32,Exit short,2023-06-23 08:45,MS-X,1935,1,19285,-68,-0.35,86.5,0.45,-66.5,-0.34,-713,-1.43
32,Entry short,2023-06-22 10:25,M-Short,1928.5,1,19285,-68,-0.35,86.5,0.45,-66.5,-0.34,-713,-1.43
33,Exit short,2023-06-25 18:00,MS-X,1935.9,1,19287,-75,-0.39,6.5,0.03,-73.5,-0.38,-788,-1.58
33,Entry short,2023-06-23 12:45,M-Short,1928.7,1,19287,-75,-0.39,6.5,0.03,-73.5,-0.38,-788,-1.58
34,Exit short,2023-06-26 01:30,MS-X,1935.7,1,19341,-19,-0.10,2.5,0.01,-17.5,-0.09,-807,-1.61
34,Entry short,2023-06-26 01:10,M-Short,1934.1,1,19341,-19,-0.10,2.5,0.01,-17.5,-0.09,-807,-1.61
35,Exit short,2023-06-26 21:40,MS-X,1936.4,1,19337,-30,-0.16,30.5,0.16,-28.5,-0.15,-837,-1.67
35,Entry short,2023-06-26 12:50,M-Short,1933.7,1,19337,-30,-0.16,30.5,0.16,-28.5,-0.15,-837,-1.67
36,Exit short,2023-06-27 02:55,MS-X,1937.3,1,19354,-22,-0.11,16.5,0.09,-20.5,-0.11,-859,-1.72
36,Entry short,2023-06-27 01:50,M-Short,1935.4,1,19354,-22,-0.11,16.5,0.09,-20.5,-0.11,-859,-1.72
37,Exit short,2023-06-29 08:35,MS-X,1905.3,1,19219,163,0.85,164.5,0.86,-43.5,-0.23,-696,-1.39
37,Entry short,2023-06-27 12:10,M-Short,1921.9,1,19219,163,0.85,164.5,0.86,-43.5,-0.23,-696,-1.39
38,Exit short,2023-06-29 19:25,MS-X,1916.7,1,19153,-17,-0.09,0,0.00,-15.5,-0.08,-713,-1.43
38,Entry short,2023-06-29 19:05,M-Short,1915.3,1,19153,-17,-0.09,0,0.00,-15.5,-0.08,-713,-1.43
39,Exit short,2023-06-30 01:30,MS-X,1917.8,1,19159,-22,-0.11,10.5,0.05,-20.5,-0.11,-735,-1.47
39,Entry short,2023-06-29 23:05,M-Short,1915.9,1,19159,-22,-0.11,10.5,0.05,-20.5,-0.11,-735,-1.47
40,Exit short,2023-07-02 22:50,MS-X,1922.2,1,19259,34,0.18,35.5,0.18,-9.5,-0.05,-701,-1.40
40,Entry short,2023-07-02 20:00,M-Short,1925.9,1,19259,34,0.18,35.5,0.18,-9.5,-0.05,-701,-1.40
41,Exit short,2023-07-03 08:35,MS-X,1926.3,1,19244,-22,-0.11,66.5,0.35,-20.5,-0.11,-723,-1.45
41,Entry short,2023-07-03 02:00,M-Short,1924.4,1,19244,-22,-0.11,66.5,0.35,-20.5,-0.11,-723,-1.45
42,Exit short,2023-07-04 18:40,MS-X,1934.8,1,19334,-17,-0.09,17.5,0.09,-15.5,-0.08,-740,-1.48
42,Entry short,2023-07-04 12:10,M-Short,1933.4,1,19334,-17,-0.09,17.5,0.09,-15.5,-0.08,-740,-1.48
43,Exit short,2023-07-04 21:25,MS-X,1934,1,19328,-15,-0.08,0,0.00,-13.5,-0.07,-755,-1.51
43,Entry short,2023-07-04 21:15,M-Short,1932.8,1,19328,-15,-0.08,0,0.00,-13.5,-0.07,-755,-1.51
44,Exit short,2023-07-05 01:30,MS-X,1933.7,1,19324,-16,-0.08,16.5,0.09,-14.5,-0.08,-771,-1.54
44,Entry short,2023-07-04 21:50,M-Short,1932.4,1,19324,-16,-0.08,16.5,0.09,-14.5,-0.08,-771,-1.54
45,Exit short,2023-07-06 01:10,MS-X,1925.7,1,19240,-20,-0.10,5.5,0.03,-18.5,-0.10,-791,-1.58
45,Entry short,2023-07-06 00:05,M-Short,1924,1,19240,-20,-0.10,5.5,0.03,-18.5,-0.10,-791,-1.58
46,Exit short,2023-07-06 23:00,MS-X,1917.2,1,19158,-17,-0.09,0.5,0.00,-15.5,-0.08,-808,-1.62
