Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-09-19 12:30,VWAP Exit,1953,1,19560,-33,-0.17,0.5,0.00,-31.5,-0.16,-33,-0.07
1,Entry long,2023-09-19 11:00,VWAP,1956,1,19560,-33,-0.17,0.5,0.00,-31.5,-0.16,-33,-0.07
2,Exit long,2023-10-20 04:00,VWAP Exit,1994.6,1,19676,267,1.36,268.5,1.36,-39.5,-0.20,234,0.47
2,Entry long,2023-10-19 11:30,VWAP,1967.6,1,19676,267,1.36,268.5,1.36,-39.5,-0.20,234,0.47
3,Exit long,2023-10-26 10:00,VWAP Exit,1981.8,1,19923,-108,-0.54,111.5,0.56,-106.5,-0.53,126,0.25
3,Entry long,2023-10-25 12:00,VWAP,1992.3,1,19923,-108,-0.54,111.5,0.56,-106.5,-0.53,126,0.25
4,Exit long,2023-11-05 18:30,VWAP Exit,1994.9,1,20035,-89,-0.44,33.5,0.17,-87.5,-0.44,37,0.07
4,Entry long,2023-11-03 10:00,VWAP,2003.5,1,20035,-89,-0.44,33.5,0.17,-87.5,-0.44,37,0.07
5,Exit long,2023-12-05 04:00,Inst Exit,2047.2,1,20555,-86,-0.42,5.5,0.03,-84.5,-0.41,-49,-0.10
5,Entry long,2023-12-05 03:30,Institutional,2055.5,1,20555,-86,-0.42,5.5,0.03,-84.5,-0.41,-49,-0.10
6,Exit long,2024-03-04 08:30,Inst Exit,2100,1,19932,1065,5.34,1066.5,5.35,-4.5,-0.02,1016,2.03
6,Entry long,2023-12-13 02:30,Institutional,1993.2,1,19932,1065,5.34,1066.5,5.35,-4.5,-0.02,1016,2.03
7,Exit long,2024-03-19 10:00,Inst Exit,2152.3,1,21602,-82,-0.38,17.5,0.08,-80.5,-0.37,934,1.87
7,Entry long,2024-03-19 09:00,Institutional,2160.2,1,21602,-82,-0.38,17.5,0.08,-80.5,-0.37,934,1.87
8,Exit long,2024-04-02 15:30,Inst Exit,2300,1,21733,1264,5.82,1265.5,5.82,-90.5,-0.42,2198,4.40
8,Entry long,2024-03-24 21:30,Institutional,2173.3,1,21733,1264,5.82,1265.5,5.82,-90.5,-0.42,2198,4.40
9,Exit long,2024-04-15 10:00,Inst Exit,2346.3,1,23589,-129,-0.55,897.5,3.80,-127.5,-0.54,2069,4.14
9,Entry long,2024-04-11 09:00,Institutional,2358.9,1,23589,-129,-0.55,897.5,3.80,-127.5,-0.54,2069,4.14
10,Exit long,2024-04-24 03:00,Inst Exit,2335.4,1,23418,-67,-0.29,23.5,0.10,-65.5,-0.28,2002,4.00
10,Entry long,2024-04-24 02:00,Institutional,2341.8,1,23418,-67,-0.29,23.5,0.10,-65.5,-0.28,2002,4.00
11,Exit long,2024-04-29 22:30,VWAP Exit,2339.4,1,23504,-113,-0.48,79.5,0.34,-111.5,-0.47,1889,3.78
11,Entry long,2024-04-29 10:30,VWAP,2350.4,1,23504,-113,-0.48,79.5,0.34,-111.5,-0.47,1889,3.78
12,Exit long,2024-05-15 21:00,Inst Exit,2400,1,23225,772,3.32,773.5,3.33,-40.5,-0.17,2661,5.32
12,Entry long,2024-05-09 08:00,Institutional,2322.5,1,23225,772,3.32,773.5,3.33,-40.5,-0.17,2661,5.32
13,Exit long,2024-06-12 14:30,VWAP Exit,2336.5,1,23468,-106,-0.45,98.5,0.42,-104.5,-0.45,2555,5.11
13,Entry long,2024-06-12 11:30,VWAP,2346.8,1,23468,-106,-0.45,98.5,0.42,-104.5,-0.45,2555,5.11
14,Exit long,2024-06-25 10:00,Inst Exit,2332.1,1,23396,-78,-0.33,98.5,0.42,-76.5,-0.33,2477,4.95
14,Entry long,2024-06-24 03:30,Institutional,2339.6,1,23396,-78,-0.33,98.5,0.42,-76.5,-0.33,2477,4.95
15,Exit long,2024-06-26 06:00,Inst Exit,2319.6,1,23328,-135,-0.58,2.5,0.01,-133.5,-0.57,2342,4.68
15,Entry long,2024-06-25 22:30,Institutional,2332.8,1,23328,-135,-0.58,2.5,0.01,-133.5,-0.57,2342,4.68
16,Exit long,2024-07-05 14:30,Inst Exit,2400,1,23365,632,2.70,633.5,2.71,-70.5,-0.30,2974,5.95
16,Entry long,2024-07-02 09:00,Institutional,2336.5,1,23365,632,2.70,633.5,2.71,-70.5,-0.30,2974,5.95
17,Exit long,2024-07-10 13:30,VWAP Exit,2377.7,1,23858,-84,-0.35,20.5,0.09,-82.5,-0.35,2890,5.78
17,Entry long,2024-07-10 11:30,VWAP,2385.8,1,23858,-84,-0.35,20.5,0.09,-82.5,-0.35,2890,5.78
18,Exit long,2024-07-16 15:30,VWAP Exit,2472.9,1,24282,444,1.83,445.5,1.83,-38.5,-0.16,3334,6.67
18,Entry long,2024-07-15 10:30,VWAP,2428.2,1,24282,444,1.83,445.5,1.83,-38.5,-0.16,3334,6.67
19,Exit long,2024-07-24 21:00,Inst Exit,2389,1,23989,-102,-0.43,339.5,1.42,-100.5,-0.42,3232,6.46
19,Entry long,2024-07-23 04:00,Institutional,2398.9,1,23989,-102,-0.43,339.5,1.42,-100.5,-0.42,3232,6.46
20,Exit long,2024-08-02 10:30,VWAP Exit,2497.4,1,25136,-165,-0.66,46.5,0.18,-163.5,-0.65,3067,6.13
20,Entry long,2024-08-02 10:00,VWAP,2513.6,1,25136,-165,-0.66,46.5,0.18,-163.5,-0.65,3067,6.13
21,Exit long,2024-08-05 06:30,Inst Exit,2456,1,24763,-206,-0.83,243.5,0.98,-204.5,-0.83,2861,5.72
21,Entry long,2024-08-04 21:30,Institutional,2476.3,1,24763,-206,-0.83,243.5,0.98,-204.5,-0.83,2861,5.72
22,Exit long,2024-08-06 01:30,Inst Exit,2441.9,1,24571,-155,-0.63,16.5,0.07,-153.5,-0.62,2706,5.41
22,Entry long,2024-08-05 21:00,Institutional,2457.1,1,24571,-155,-0.63,16.5,0.07,-153.5,-0.62,2706,5.41
23,Exit long,2024-08-12 12:00,VWAP Exit,2505,1,24715,332,1.34,333.5,1.35,-89.5,-0.36,3038,6.08
23,Entry long,2024-08-09 10:30,VWAP,2471.5,1,24715,332,1.34,333.5,1.35,-89.5,-0.36,3038,6.08
24,Exit long,2024-08-13 22:00,VWAP Exit,2501,1,25124,-117,-0.47,4.5,0.02,-115.5,-0.46,2921,5.84
24,Entry long,2024-08-13 10:00,VWAP,2512.4,1,25124,-117,-0.47,4.5,0.02,-115.5,-0.46,2921,5.84
25,Exit long,2024-08-15 08:30,Inst Exit,2493.7,1,25015,-81,-0.32,63.5,0.25,-79.5,-0.32,2840,5.68
25,Entry long,2024-08-15 08:00,Institutional,2501.5,1,25015,-81,-0.32,63.5,0.25,-79.5,-0.32,2840,5.68
26,Exit long,2024-08-22 08:30,VWAP Exit,2531.2,1,25429,-120,-0.47,273.5,1.08,-118.5,-0.47,2720,5.44
26,Entry long,2024-08-19 11:30,VWAP,2542.9,1,25429,-120,-0.47,273.5,1.08,-118.5,-0.47,2720,5.44
27,Exit long,2024-09-01 22:00,Inst Exit,2525.4,1,25319,-68,-0.27,322.5,1.27,-66.5,-0.26,2652,5.30
27,Entry long,2024-08-23 04:30,Institutional,2531.9,1,25319,-68,-0.27,322.5,1.27,-66.5,-0.26,2652,5.30
28,Exit long,2024-09-02 20:30,Inst Exit,2527.1,1,25384,-116,-0.46,1.5,0.01,-114.5,-0.45,2536,5.07
28,Entry long,2024-09-02 05:00,Institutional,2538.4,1,25384,-116,-0.46,1.5,0.01,-114.5,-0.45,2536,5.07
29,Exit long,2024-09-03 06:00,Inst Exit,2529.8,1,25368,-73,-0.29,15.5,0.06,-71.5,-0.28,2463,4.93
29,Entry long,2024-09-03 04:30,Institutional,2536.8,1,25368,-73,-0.29,15.5,0.06,-71.5,-0.28,2463,4.93
30,Exit long,2024-09-04 02:00,Inst Exit,2521.9,1,25268,-52,-0.21,11.5,0.05,-50.5,-0.20,2411,4.82
30,Entry long,2024-09-03 23:00,Institutional,2526.8,1,25268,-52,-0.21,11.5,0.05,-50.5,-0.20,2411,4.82
31,Exit long,2024-09-13 05:00,Inst Exit,2600,1,25250,747,2.96,748.5,2.96,-30.5,-0.12,3158,6.32
31,Entry long,2024-09-09 05:30,Institutional,2525,1,25250,747,2.96,748.5,2.96,-30.5,-0.12,3158,6.32
