Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-10-18 09:30,VWAP Exit,1969.3,1,19406,284,1.46,285.5,1.47,-89.5,-0.46,284,0.57
1,Entry long,2023-10-17 10:00,VWAP,1940.6,1,19406,284,1.46,285.5,1.47,-89.5,-0.46,284,0.57
2,Exit long,2023-10-27 14:00,VWAP Exit,2014.6,1,19743,400,2.03,401.5,2.03,-99.5,-0.50,684,1.37
2,Entry long,2023-10-19 13:00,VWAP,1974.3,1,19743,400,2.03,401.5,2.03,-99.5,-0.50,684,1.37
3,Exit long,2023-12-05 04:00,Inst Exit,2049.6,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,632,1.26
3,Entry long,2023-12-05 03:15,Institutional,2054.5,1,20545,-52,-0.25,32.5,0.16,-50.5,-0.25,632,1.26
4,Exit long,2024-03-04 08:45,Inst Exit,2100,1,19932,1065,5.34,1066.5,5.35,-4.5,-0.02,1697,3.39
4,Entry long,2023-12-13 02:30,Institutional,1993.2,1,19932,1065,5.34,1066.5,5.35,-4.5,-0.02,1697,3.39
5,Exit long,2024-03-19 04:15,Inst Exit,2154.3,1,21589,-49,-0.23,80.5,0.37,-47.5,-0.22,1648,3.30
5,Entry long,2024-03-18 05:15,Institutional,2158.9,1,21589,-49,-0.23,80.5,0.37,-47.5,-0.22,1648,3.30
6,Exit long,2024-03-19 10:00,Inst Exit,2152.6,1,21613,-90,-0.42,6.5,0.03,-88.5,-0.41,1558,3.12
6,Entry long,2024-03-19 08:45,Institutional,2161.3,1,21613,-90,-0.42,6.5,0.03,-88.5,-0.41,1558,3.12
7,Exit long,2024-04-02 15:45,Inst Exit,2300,1,21733,1264,5.82,1265.5,5.82,-90.5,-0.42,2822,5.64
7,Entry long,2024-03-24 21:30,Institutional,2173.3,1,21733,1264,5.82,1265.5,5.82,-90.5,-0.42,2822,5.64
8,Exit long,2024-04-04 21:15,VWAP Exit,2293.3,1,23042,-112,-0.49,207.5,0.90,-110.5,-0.48,2710,5.42
8,Entry long,2024-04-03 10:45,VWAP,2304.2,1,23042,-112,-0.49,207.5,0.90,-110.5,-0.48,2710,5.42
9,Exit long,2024-04-11 04:00,Inst Exit,2349.5,1,23559,-67,-0.28,79.5,0.34,-65.5,-0.28,2643,5.29
9,Entry long,2024-04-10 21:15,Institutional,2355.9,1,23559,-67,-0.28,79.5,0.34,-65.5,-0.28,2643,5.29
10,Exit long,2024-04-15 10:00,Inst Exit,2347.9,1,23589,-113,-0.48,897.5,3.80,-111.5,-0.47,2530,5.06
10,Entry long,2024-04-11 09:00,Institutional,2358.9,1,23589,-113,-0.48,897.5,3.80,-111.5,-0.47,2530,5.06
11,Exit long,2024-04-21 23:15,Inst Exit,2377,1,23821,-54,-0.23,509.5,2.14,-52.5,-0.22,2476,4.95
