Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2025-08-05 10:00,Exit,23345,1,46690,-1.24,0.00,0,0.00,0,0.00,-1.24,0.00
1,Entry long,2025-08-05 10:00,Long,23345,1,46690,-1.24,0.00,0,0.00,0,0.00,-1.24,0.00
2,Exit long,2025-08-08 10:00,Exit,23671.75,1,47208,134.26,0.28,134.88,0.29,-0.62,0.00,133.02,0.27
2,Entry long,2025-08-08 09:45,Long,23604,1,47208,134.26,0.28,134.88,0.29,-0.62,0.00,133.02,0.27
3,Exit long,2025-08-11 10:00,Exit,23722.75,1,47489.5,-45.24,-0.10,28.38,0.06,-44.62,-0.09,87.78,0.18
3,Entry long,2025-08-11 10:00,Long,23744.75,1,47489.5,-45.24,-0.10,28.38,0.06,-44.62,-0.09,87.78,0.18
4,Exit long,2025-09-04 14:45,Exit,23620.25,1,47011.5,227.76,0.48,228.38,0.49,-3.12,-0.01,315.54,0.63
4,Entry long,2025-09-04 11:15,Long,23505.75,1,47011.5,227.76,0.48,228.38,0.49,-3.12,-0.01,315.54,0.63
5,Exit long,2025-09-18 15:30,Exit,24710.5,1,49498.5,-78.74,-0.16,132.38,0.27,-78.12,-0.16,236.8,0.47
5,Entry long,2025-09-18 10:15,Long,24749.25,1,49498.5,-78.74,-0.16,132.38,0.27,-78.12,-0.16,236.8,0.47
6,Exit long,2026-03-10 14:15,Exit,25033.25,1,50206,-140.74,-0.28,228.88,0.46,-140.12,-0.28,96.06,0.19
6,Entry long,2026-03-10 10:45,Long,25103,1,50206,-140.74,-0.28,228.88,0.46,-140.12,-0.28,96.06,0.19
7,Exit long,2026-04-09 11:45,Exit,25168.25,1,50082,253.26,0.51,253.88,0.51,-55.62,-0.11,349.32,0.70
7,Entry long,2026-04-09 11:00,Long,25041,1,50082,253.26,0.51,253.88,0.51,-55.62,-0.11,349.32,0.70
