Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-06-30 14:10,Exit,15343.25,1,30714.5,-29.24,-0.10,3.38,0.01,-28.62,-0.09,-29.24,-0.06
1,Entry long,2023-06-30 13:35,Long,15357.25,1,30714.5,-29.24,-0.10,3.38,0.01,-28.62,-0.09,-29.24,-0.06
2,Exit long,2023-06-30 15:05,Exit,15333.25,1,30691,-25.74,-0.08,36.38,0.12,-25.12,-0.08,-54.98,-0.11
2,Entry long,2023-06-30 14:15,Long,15345.5,1,30691,-25.74,-0.08,36.38,0.12,-25.12,-0.08,-54.98,-0.11
3,Exit long,2023-07-03 10:20,Exit,15346,1,30722,-31.24,-0.10,6.38,0.02,-30.62,-0.10,-86.22,-0.17
3,Entry long,2023-07-03 10:15,Long,15361,1,30722,-31.24,-0.10,6.38,0.02,-30.62,-0.10,-86.22,-0.17
4,Exit long,2023-07-03 10:30,Exit,15351.25,1,30733.5,-32.24,-0.10,6.88,0.02,-31.62,-0.10,-118.46,-0.24
4,Entry long,2023-07-03 10:25,Long,15366.75,1,30733.5,-32.24,-0.10,6.88,0.02,-31.62,-0.10,-118.46,-0.24
5,Exit long,2023-07-04 10:15,Exit,15358,1,30724,-9.24,-0.03,7.88,0.03,-8.62,-0.03,-127.7,-0.26
5,Entry long,2023-07-04 09:50,Long,15362,1,30724,-9.24,-0.03,7.88,0.03,-8.62,-0.03,-127.7,-0.26
6,Exit long,2023-07-07 10:15,Exit,15234.5,1,30524,-56.24,-0.18,31.38,0.10,-55.62,-0.18,-183.94,-0.37
6,Entry long,2023-07-07 09:55,Long,15262,1,30524,-56.24,-0.18,31.38,0.10,-55.62,-0.18,-183.94,-0.37
7,Exit long,2023-07-07 10:30,Exit,15211.5,1,30478.5,-56.74,-0.19,3.88,0.01,-56.12,-0.18,-240.68,-0.48
7,Entry long,2023-07-07 10:20,Long,15239.25,1,30478.5,-56.74,-0.19,3.88,0.01,-56.12,-0.18,-240.68,-0.48
8,Exit long,2023-07-07 13:55,Exit,15331.5,1,30689,-27.24,-0.09,19.38,0.06,-26.62,-0.09,-267.92,-0.54
