Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-06-30 13:35,Exit,1927.3,1,19287,-15.24,-0.08,19.38,0.10,-14.62,-0.08,-15.24,-0.03
1,Entry long,2023-06-30 13:05,Long,1928.7,1,19287,-15.24,-0.08,19.38,0.10,-14.62,-0.08,-15.24,-0.03
2,Exit long,2023-07-03 09:35,Exit,1930.8,1,19324,-17.24,-0.09,0,0.00,-16.62,-0.09,-32.48,-0.06
2,Entry long,2023-07-03 09:35,Long,1932.4,1,19324,-17.24,-0.09,0,0.00,-16.62,-0.09,-32.48,-0.06
3,Exit long,2023-07-03 09:50,Exit,1934.3,1,19309,32.76,0.17,33.38,0.17,-10.62,-0.05,0.28,0.00
3,Entry long,2023-07-03 09:40,Long,1930.9,1,19309,32.76,0.17,33.38,0.17,-10.62,-0.05,0.28,0.00
4,Exit long,2023-07-03 10:00,Exit,1938,1,19344,34.76,0.18,35.38,0.18,-12.62,-0.07,35.04,0.07
4,Entry long,2023-07-03 09:55,Long,1934.4,1,19344,34.76,0.18,35.38,0.18,-12.62,-0.07,35.04,0.07
5,Exit long,2023-07-04 10:55,Exit,1935.6,1,19364,-9.24,-0.05,8.38,0.04,-8.62,-0.04,25.8,0.05
5,Entry long,2023-07-04 10:10,Long,1936.4,1,19364,-9.24,-0.05,8.38,0.04,-8.62,-0.04,25.8,0.05
6,Exit long,2023-07-07 11:05,Exit,1935.1,1,19377,-27.24,-0.14,33.38,0.17,-26.62,-0.14,-1.44,0.00
6,Entry long,2023-07-07 10:40,Long,1937.7,1,19377,-27.24,-0.14,33.38,0.17,-26.62,-0.14,-1.44,0.00
7,Exit long,2023-07-18 11:05,Exit,1987.9,1,19812,65.76,0.33,66.38,0.34,-16.62,-0.08,64.32,0.13
7,Entry long,2023-07-18 10:10,Long,1981.2,1,19812,65.76,0.33,66.38,0.34,-16.62,-0.08,64.32,0.13
8,Exit long,2023-07-25 15:20,Exit,1966.7,1,19650,15.76,0.08,16.38,0.08,-6.62,-0.03,80.08,0.16
8,Entry long,2023-07-25 14:55,Long,1965,1,19650,15.76,0.08,16.38,0.08,-6.62,-0.03,80.08,0.16
9,Exit long,2023-07-31 09:45,Exit,2010.1,1,20067,32.76,0.16,33.38,0.17,-11.62,-0.06,112.84,0.23
9,Entry long,2023-07-31 09:35,Long,2006.7,1,20067,32.76,0.16,33.38,0.17,-11.62,-0.06,112.84,0.23
10,Exit long,2023-07-31 10:20,Exit,2006.6,1,20084,-19.24,-0.10,10.38,0.05,-18.62,-0.09,93.6,0.19
10,Entry long,2023-07-31 10:05,Long,2008.4,1,20084,-19.24,-0.10,10.38,0.05,-18.62,-0.09,93.6,0.19
11,Exit long,2023-08-04 09:55,Exit,1978.1,1,19811,-31.24,-0.16,12.38,0.06,-30.62,-0.15,62.36,0.12
11,Entry long,2023-08-04 09:40,Long,1981.1,1,19811,-31.24,-0.16,12.38,0.06,-30.62,-0.15,62.36,0.12
12,Exit long,2023-08-21 09:35,Exit,1923,1,19246,-17.24,-0.09,2.38,0.01,-16.62,-0.09,45.12,0.09
12,Entry long,2023-08-21 09:35,Long,1924.6,1,19246,-17.24,-0.09,2.38,0.01,-16.62,-0.09,45.12,0.09
13,Exit long,2023-08-21 21:00,Exit,1925.2,1,19230,20.76,0.11,21.38,0.11,-7.62,-0.04,65.88,0.13
13,Entry long,2023-08-21 13:30,Long,1923,1,19230,20.76,0.11,21.38,0.11,-7.62,-0.04,65.88,0.13
14,Exit long,2023-08-28 09:50,Exit,1943.9,1,19453,-15.24,-0.08,11.38,0.06,-14.62,-0.08,50.64,0.10
14,Entry long,2023-08-28 09:45,Long,1945.3,1,19453,-15.24,-0.08,11.38,0.06,-14.62,-0.08,50.64,0.10
15,Exit long,2023-08-28 11:15,Exit,1948,1,19451,27.76,0.14,28.38,0.15,-2.62,-0.01,78.4,0.16
