Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2023-06-30 14:55,Exit,15335.75,1,30697,-26.74,-0.09,14.88,0.05,-26.12,-0.09,-26.74,-0.05
1,Entry long,2023-06-30 14:50,Long,15348.5,1,30697,-26.74,-0.09,14.88,0.05,-26.12,-0.09,-26.74,-0.05
2,Exit long,2023-07-13 10:05,Exit,15589.5,1,31212.5,-34.74,-0.11,12.88,0.04,-34.12,-0.11,-61.48,-0.12
2,Entry long,2023-07-13 10:00,Long,15606.25,1,31212.5,-34.74,-0.11,12.88,0.04,-34.12,-0.11,-61.48,-0.12
3,Exit long,2023-08-01 15:40,Exit,15817.5,1,31664.5,-30.74,-0.10,33.38,0.11,-30.12,-0.10,-92.22,-0.18
3,Entry long,2023-08-01 14:30,Long,15832.25,1,31664.5,-30.74,-0.10,33.38,0.11,-30.12,-0.10,-92.22,-0.18
4,Exit long,2023-09-04 10:05,Exit,15558.75,1,31131.5,-15.24,-0.05,0.88,0.00,-14.62,-0.05,-107.46,-0.21
4,Entry long,2023-09-04 10:05,Long,15565.75,1,31131.5,-15.24,-0.05,0.88,0.00,-14.62,-0.05,-107.46,-0.21
5,Exit long,2023-11-06 10:10,Exit,15188.25,1,30411.5,-36.24,-0.12,23.38,0.08,-35.62,-0.12,-143.7,-0.29
5,Entry long,2023-11-06 10:05,Long,15205.75,1,30411.5,-36.24,-0.12,23.38,0.08,-35.62,-0.12,-143.7,-0.29
6,Exit long,2024-04-05 10:55,Exit,18310.25,1,36407,212.26,0.58,212.88,0.58,-23.12,-0.06,68.56,0.14
6,Entry long,2024-04-05 10:30,Long,18203.5,1,36407,212.26,0.58,212.88,0.58,-23.12,-0.06,68.56,0.14
7,Exit long,2024-05-03 15:35,Exit,17995.75,1,36025,-34.74,-0.10,23.38,0.06,-34.12,-0.09,33.82,0.07
