Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
1,Exit long,2024-04-22 13:50,Exit,17407,1,34688.5,124.26,0.36,124.88,0.36,-6.12,-0.02,124.26,0.25
1,Entry long,2024-04-22 13:30,Long,17344.25,1,34688.5,124.26,0.36,124.88,0.36,-6.12,-0.02,124.26,0.25
2,Exit long,2024-04-22 13:55,Exit,17386.5,1,34817,-45.24,-0.13,11.88,0.03,-44.62,-0.13,79.02,0.16
2,Entry long,2024-04-22 13:55,Long,17408.5,1,34817,-45.24,-0.13,11.88,0.03,-44.62,-0.13,79.02,0.16
3,Exit long,2024-04-23 09:40,Exit,17474,1,34855,91.76,0.26,92.38,0.27,-4.12,-0.01,170.78,0.34
3,Entry long,2024-04-23 09:35,Long,17427.5,1,34855,91.76,0.26,92.38,0.27,-4.12,-0.01,170.78,0.34
4,Exit long,2024-04-23 09:50,Exit,17464.5,1,34973,-45.24,-0.13,46.88,0.13,-44.62,-0.13,125.54,0.25
4,Entry long,2024-04-23 09:50,Long,17486.5,1,34973,-45.24,-0.13,46.88,0.13,-44.62,-0.13,125.54,0.25
5,Exit long,2024-04-23 10:45,Exit,17567,1,35191.5,-58.74,-0.17,3.38,0.01,-58.12,-0.17,66.8,0.13
5,Entry long,2024-04-23 10:35,Long,17595.75,1,35191.5,-58.74,-0.17,3.38,0.01,-58.12,-0.17,66.8,0.13
6,Exit long,2024-04-25 14:25,Exit,17519.75,1,35092.5,-54.24,-0.15,73.88,0.21,-53.62,-0.15,12.56,0.03
6,Entry long,2024-04-25 13:40,Long,17546.25,1,35092.5,-54.24,-0.15,73.88,0.21,-53.62,-0.15,12.56,0.03
7,Exit long,2024-05-03 09:55,Exit,18015,1,35868.5,160.26,0.45,160.88,0.45,-7.62,-0.02,172.82,0.35
7,Entry long,2024-05-03 09:40,Long,17934.25,1,35868.5,160.26,0.45,160.88,0.45,-7.62,-0.02,172.82,0.35
8,Exit long,2024-05-03 10:20,Exit,17905,1,35882.5,-73.74,-0.21,71.88,0.20,-73.12,-0.20,99.08,0.20
8,Entry long,2024-05-03 10:05,Long,17941.25,1,35882.5,-73.74,-0.21,71.88,0.20,-73.12,-0.20,99.08,0.20
9,Exit long,2024-05-06 10:15,Exit,18084,1,36195.5,-28.74,-0.08,37.38,0.10,-28.12,-0.08,70.34,0.14
9,Entry long,2024-05-06 09:55,Long,18097.75,1,36195.5,-28.74,-0.08,37.38,0.10,-28.12,-0.08,70.34,0.14
10,Exit long,2024-05-07 10:55,Exit,18239.75,1,36387.5,90.76,0.25,91.38,0.25,-25.62,-0.07,161.1,0.32
10,Entry long,2024-05-07 10:00,Long,18193.75,1,36387.5,90.76,0.25,91.38,0.25,-25.62,-0.07,161.1,0.32
11,Exit long,2024-05-07 12:50,Exit,18233.25,1,36500.5,-35.24,-0.10,34.38,0.09,-34.62,-0.09,125.86,0.25
11,Entry long,2024-05-07 11:00,Long,18250.25,1,36500.5,-35.24,-0.10,34.38,0.09,-34.62,-0.09,125.86,0.25
12,Exit long,2024-05-10 10:00,Exit,18298,1,36623.5,-28.74,-0.08,71.88,0.20,-28.12,-0.08,97.12,0.19
12,Entry long,2024-05-10 09:40,Long,18311.75,1,36623.5,-28.74,-0.08,71.88,0.20,-28.12,-0.08,97.12,0.19
13,Exit long,2024-05-10 10:10,Exit,18283.25,1,36603,-37.74,-0.10,25.88,0.07,-37.12,-0.10,59.38,0.12
13,Entry long,2024-05-10 10:05,Long,18301.5,1,36603,-37.74,-0.10,25.88,0.07,-37.12,-0.10,59.38,0.12
14,Exit long,2024-05-14 09:55,Exit,18290,1,36619,-40.24,-0.11,19.88,0.05,-39.62,-0.11,19.14,0.04
14,Entry long,2024-05-14 09:50,Long,18309.5,1,36619,-40.24,-0.11,19.88,0.05,-39.62,-0.11,19.14,0.04
15,Exit long,2024-05-14 10:35,Exit,18340.25,1,36728.5,-49.24,-0.13,13.88,0.04,-48.62,-0.13,-30.1,-0.06
15,Entry long,2024-05-14 10:30,Long,18364.25,1,36728.5,-49.24,-0.13,13.88,0.04,-48.62,-0.13,-30.1,-0.06
16,Exit long,2024-05-14 15:50,Exit,18432.75,1,36780,84.26,0.23,84.88,0.23,-11.12,-0.03,54.16,0.11
16,Entry long,2024-05-14 14:35,Long,18390,1,36780,84.26,0.23,84.88,0.23,-11.12,-0.03,54.16,0.11
17,Exit long,2024-05-20 10:05,Exit,18734.25,1,37499.5,-32.24,-0.09,8.38,0.02,-31.62,-0.08,21.92,0.04
17,Entry long,2024-05-20 10:00,Long,18749.75,1,37499.5,-32.24,-0.09,8.38,0.02,-31.62,-0.08,21.92,0.04
18,Exit long,2024-05-20 12:55,Exit,18789.5,1,37486.5,91.26,0.24,91.88,0.25,-30.12,-0.08,113.18,0.23
18,Entry long,2024-05-20 10:10,Long,18743.25,1,37486.5,91.26,0.24,91.88,0.25,-30.12,-0.08,113.18,0.23
19,Exit long,2024-05-20 13:25,Exit,18757.75,1,37540,-25.74,-0.07,5.88,0.02,-25.12,-0.07,87.44,0.17
19,Entry long,2024-05-20 13:25,Long,18770,1,37540,-25.74,-0.07,5.88,0.02,-25.12,-0.07,87.44,0.17
20,Exit long,2024-05-24 14:20,Exit,18900.5,1,37830.5,-30.74,-0.08,20.88,0.06,-30.12,-0.08,56.7,0.11
20,Entry long,2024-05-24 14:15,Long,18915.25,1,37830.5,-30.74,-0.08,20.88,0.06,-30.12,-0.08,56.7,0.11
21,Exit long,2024-05-27 09:45,Exit,18899.5,1,37813,-15.24,-0.04,1.88,0.00,-14.62,-0.04,41.46,0.08
21,Entry long,2024-05-27 09:45,Long,18906.5,1,37813,-15.24,-0.04,1.88,0.00,-14.62,-0.04,41.46,0.08
22,Exit long,2024-06-03 09:35,Exit,18705.75,1,37437.5,-27.24,-0.07,26.38,0.07,-26.62,-0.07,14.22,0.03
22,Entry long,2024-06-03 09:35,Long,18718.75,1,37437.5,-27.24,-0.07,26.38,0.07,-26.62,-0.07,14.22,0.03
23,Exit long,2024-06-03 09:50,Exit,18710.25,1,37450,-30.74,-0.08,60.38,0.16,-30.12,-0.08,-16.52,-0.03
23,Entry long,2024-06-03 09:40,Long,18725,1,37450,-30.74,-0.08,60.38,0.16,-30.12,-0.08,-16.52,-0.03
24,Exit long,2024-06-10 14:05,Exit,19087.75,1,38213.5,-39.24,-0.10,1.38,0.00,-38.62,-0.10,-55.76,-0.11
24,Entry long,2024-06-10 13:55,Long,19106.75,1,38213.5,-39.24,-0.10,1.38,0.00,-38.62,-0.10,-55.76,-0.11
25,Exit long,2024-06-11 14:25,Exit,19208.5,1,38310.5,105.26,0.27,105.88,0.28,-7.12,-0.02,49.5,0.10
